"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,54.26,3.8,"[79, 116]"
2,37,5.7,None
3,97.21,4.1,[798]
4,44.36,2.8,None
5,80.58,5.4,"[79, 116]"
6,78.76,6.7,[798]
7,71.49,3.2,[798]
8,51.36,1.9,None
9,53.84,8.4,"[79, 116]"
10,64.92,2.2,None
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,84.52,5.8,None
2,91.87,7.3,[798]
3,65.72,4.7,None
4,128.98,5.5,None
5,67.06,4.7,None
6,74.71,3.4,[798]
7,56.86,7.5,[798]
8,58.32,3.9,[798]
9,66.83,7.1,"[79, 116]"
10,64.18,2.4,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,81.87,5.8,None
2,81.41,7.3,"[79, 116]"
3,85.7,6.6,None
4,75.58,6.9,None
5,91.56,8.1,None
6,66.73,3.5,None
7,91.25,5.2,None
8,66.64,3.4,None
9,69.08,2.7,None
10,78.48,6.4,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,117.36,N/A,None
2,212.88,N/A,"[79, 116]"
3,121.53,N/A,None
4,170.01,N/A,None
5,202.99,N/A,None
6,231.04,N/A,None
7,149.31,N/A,None
8,179.66,N/A,"[79, 116]"
9,274.43,N/A,None
10,124.9,N/A,None
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,95.99,5.4,"[79, 116], [117]"
2,70.6,6.8,"[79, 116]"
3,85.55,9.3,None
4,91.24,1.6,"[79, 116]"
5,77.98,6.3,[117]
6,77.8,3.4,None
7,190.4,5.6,None
8,77.15,2.2,None
9,279.45,3.1,None
10,81.17,3.7,"[79, 116]"
