"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,108.3,2.3,"[327, 328]"
2,104.52,3.8,"[327, 328]"
3,136.38,5.1,"[327, 328]"
4,350.17,4.9,"[327, 328]"
5,344.04,7.6,"[327, 328]"
6,165.48,7.2,"[327, 328]"
7,141.07,1.5,"[327, 328]"
8,146.41,5.3,"[327, 328]"
9,113.19,3.4,"[327, 328]"
10,128.93,5.5,"[327, 328]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,193.69,3.5,"[327, 328]"
2,141.35,6.1,"[327, 328]"
3,152.91,2.9,"[327, 328]"
4,194.7,8.5,"[20] x 2, [327, 328]"
5,155.14,6.2,"[20], [327, 328]"
6,129.09,4.5,"[327, 328]"
7,390.07,3.1,"[327, 328]"
8,169.2,5.7,"[327, 328]"
9,158.78,7.4,"[327, 328]"
10,143.46,4.3,"[327, 328]"
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,299.38,N/A,None
2,422.66,N/A,None
3,187.74,N/A,None
4,233.67,N/A,None
5,238.89,N/A,None
6,213.58,N/A,None
7,236.74,N/A,None
8,188.53,N/A,None
9,198.54,N/A,None
10,166.79,N/A,None
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,171.68,5.8,None
2,142.98,7.3,None
3,103.52,5.2,None
4,133.5,6.9,None
5,139.4,6.4,None
6,138.14,4.5,None
7,111.63,3.5,None
8,99.32,2.2,None
9,147.74,2.8,None
10,122.35,6.1,"[327, 328]"
