"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,48.79,5.7,None
2,21.36,6.3,[798]
3,24.5,4.9,None
4,36.47,8.1,None
5,20.14,2.5,None
6,21.11,3.4,[798]
7,30.96,4.1,None
8,27.28,8.5,None
9,17.74,5.9,None
10,34.65,5.4,None
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,45.6,5.8,[798]
2,31.19,7.3,None
3,40.33,5.6,[798]
4,27.56,4.1,[798]
5,49.95,4.2,[798]
6,48.4,4.3,[798]
7,32.95,4.7,[798]
8,27.79,5.4,[798]
9,36.98,3.6,None
10,30.55,6.4,[798]
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,39.51,6.8,None
2,34.57,9.2,[798]
3,24.86,3.5,None
4,30.67,6.3,None
5,27.87,4.5,None
6,37.4,3.3,None
7,29.86,5.9,None
8,29.86,7.5,None
9,37.69,6.8,None
10,33.86,5.3,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,73.52,6.2,None
2,81.54,3.4,None
3,52.25,5.2,None
4,53.51,5.7,None
5,66.05,6.5,None
6,78.16,4.7,None
7,58.16,3.2,None
8,67.99,2.9,None
9,68.84,6.1,None
10,56.3,3.8,None
