"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,53.8,2.1,"[22, 23, 36, 73, 99] x 2"
2,38.18,5.6,None
3,38.65,4.3,"[22, 23, 36, 73, 99] x 2"
4,41.79,4.9,None
5,39.6,7.5,None
6,41.28,4.6,[117]
7,32.2,3.2,None
8,62.5,2.7,None
9,44.59,5.1,"[22, 23, 36, 73, 99] x 2"
10,27.23,2.9,None
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,34.73,3.2,"[22, 23, 36, 73, 99] x 2"
2,41.93,8.9,"[22, 23, 36, 73, 99]"
3,90.89,5.1,None
4,45.22,2.3,None
5,52.3,4.1,"[22, 23, 36, 73, 99] x 2"
6,79.72,5.7,None
7,33.47,5.3,None
8,36.57,3.2,None
9,45.6,5.8,None
10,44.71,6.5,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,50.58,2.1,None
2,46,2.8,"[22, 23, 36, 73, 99]"
3,51.18,9.6,None
4,50.65,5.3,None
5,65.29,5.9,None
6,60.45,5.6,None
7,47.39,5.2,None
8,40.57,4.7,None
9,45.27,4.4,None
10,48.78,6.1,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,24.08,6.5,None
2,39.44,7.3,None
3,36.28,4.9,None
4,36.23,5.1,None
5,45.93,2.4,None
6,38.6,5.3,None
7,61.31,9.6,None
8,36.63,10.1,None
9,34.46,6.7,None
10,40.56,4.3,None
