"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,44.85,2.8,None
2,46.22,5.1,None
3,32.05,2.7,None
4,33.44,3.1,None
5,55.9,4.2,None
6,31.56,4.8,None
7,34.86,7.6,None
8,50.8,4.3,None
9,42.62,3.7,None
10,30.11,2.3,None
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,36.39,5.6,None
2,42.99,7.3,None
3,34.51,5.8,None
4,45.41,5.6,None
5,45.26,5.1,None
6,40.26,2.4,None
7,45.21,4.3,None
8,27.27,4.7,None
9,31.06,7.5,None
10,29.02,4.2,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,51.07,5.8,None
2,56.31,7.9,None
3,48.44,5.1,None
4,53.32,2.4,None
5,53.58,3.7,None
6,47.75,8.1,None
7,59.35,5.6,None
8,48.68,5.2,None
9,42.72,3.3,None
10,68.48,3.8,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,41.44,5.8,None
2,36.33,7.9,None
3,30.86,3.4,None
4,66.12,4.1,None
5,43.3,2.5,None
6,48.22,5.7,None
7,48,5.3,None
8,28.53,4.2,None
9,30.69,6.8,None
10,65.43,5.3,None
