"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,34.13,3.4,None
2,37.18,2.6,None
3,33.64,7.3,None
4,35.27,5.8,None
5,38.14,5.1,None
6,36.41,4.2,None
7,42.22,4.9,None
8,39.47,9.2,None
9,38.71,4.1,None
10,40.22,3.2,None
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,44.97,5.6,None
2,40.05,7.8,None
3,40.44,9.2,None
4,36.72,4.2,None
5,38.99,4.5,None
6,34.26,6.3,None
7,50.02,4.9,None
8,38.97,5.1,None
9,46.24,6.5,None
10,44.16,3.3,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,52.54,5.8,None
2,64.8,7.3,None
3,65.78,6.9,None
4,73.87,8.5,None
5,61.22,4.3,None
6,79.78,6.7,None
7,48.57,6.5,None
8,52.17,5.6,None
9,65.85,5.3,None
10,53,3.4,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,78.41,5.8,None
2,58.76,6.1,None
3,104.75,5.4,None
4,63.32,5.7,None
5,55.78,6.3,None
6,68.31,9.7,None
7,78.62,9.2,None
8,49.46,8.9,None
9,67.65,8.7,None
10,52.32,8.8,None
