"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,31.38,3.8,[798]
2,29.88,7.3,"[798], [117]"
3,28.54,4.5,[798]
4,30.76,4.1,[798]
5,27.1,2.6,[798]
6,32.99,5.9,[798]
7,27.13,8.3,[798]
8,28.27,4.2,[798]
9,30.62,2.1,[798]
10,26.58,3.5,[798]
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,25.11,3,[798]
2,27.41,3.4,[798]
3,33.73,5.2,[798]
4,21.45,2.6,[798]
5,16.85,5.6,[798]
6,21.81,5.4,[798]
7,14.69,5.8,[798]
8,22.69,7.3,[798]
9,18.99,4.2,[798]
10,20.74,5.6,[798]
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,45.15,5.6,None
2,32.41,5.3,None
3,40.69,4.9,None
4,36.76,8.1,None
5,38.16,3.8,None
6,36.77,5.2,None
7,39.12,4.6,None
8,36.34,4.2,None
9,31.06,2.1,None
10,38.18,3.4,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,34.26,5.8,None
2,32.33,6.2,None
3,33.04,3.7,None
4,21.49,8.4,None
5,37.91,6.9,None
6,43.22,5.1,None
7,33.54,2.4,None
8,55.72,3.5,None
9,45.86,5.2,None
10,39.03,3.5,None
