"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,4.22,5.3,"[22, 23, 36, 73, 99] x 2"
2,3.17,6.2,"[22, 23, 36, 73, 99] x 2"
3,2.98,6.8,"[22, 23, 36, 73, 99] x 2, [117]"
4,3.33,6.1,"[22, 23, 36, 73, 99] x 2, [117]"
5,2.65,5.2,"[22, 23, 36, 73, 99] x 2"
6,2.17,5.9,"[22, 23, 36, 73, 99] x 2, [117]"
7,2.99,5.5,"[22, 23, 36, 73, 99] x 2, [117]"
8,2.88,5.2,"[22, 23, 36, 73, 99] x 2, [117]"
9,2.16,5.1,"[22, 23, 36, 73, 99] x 2, [117]"
10,2.31,5.2,"[22, 23, 36, 73, 99] x 2, [117]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,3.15,3.4,None
2,2.98,7.2,None
3,2.55,5.8,None
4,3.64,6.1,None
5,9.92,4.7,None
6,4.53,8.3,None
7,3.71,2.9,None
8,3.55,9.1,None
9,3.62,3.8,None
10,3.47,7.6,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,4.02,4.2,None
2,3.58,8.7,None
3,4.51,3.5,None
4,4.88,6.9,None
5,4.56,7.4,None
6,4.73,5.1,None
7,4.59,9.3,None
8,4.99,2.8,None
9,4.02,4.6,None
10,5.13,8.1,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,9.78,2.7,None
2,8.15,9.4,None
3,9.03,3.2,"[22, 23, 36, 73, 99]"
4,9.55,8.1,None
5,9.43,4.6,None
6,9.47,10,[117]
7,9.11,5.8,"[22, 23, 36, 73, 99] x 2"
8,8.79,7.3,"[22, 23, 36, 73, 99] x 2, [117]"
9,10.02,6.4,"[22, 23, 36, 73, 99] x 2, [117]"
10,9.99,9.9,None
