"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,5.77,3.7,[117] x 2
2,7.81,10.2,[117] x 2
3,5.46,5.4,None
4,5.33,8.9,None
5,6.18,6.1,None
6,6.02,4.3,None
7,6.55,9.8,None
8,6.24,7.5,None
9,5.18,11.1,None
10,4.99,2.9,None
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,5.99,5.6,None
2,7.26,7.8,[117] x 2
3,6.55,9.2,[117] x 2
4,6.27,10.3,None
5,6.97,5.7,[117] x 2
6,6.11,3.8,None
7,5.57,8.5,None
8,5.99,4.6,[117]
9,6.26,6.4,None
10,6.23,6.5,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,6.99,9.9,None
2,7.02,7.2,None
3,8.13,5.7,None
4,8.33,10.3,None
5,7.46,5.6,None
6,7.64,11.5,None
7,6.85,12.5,None
8,6.99,8.3,None
9,7.01,9.2,None
10,7.11,9.4,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,7.78,4.8,None
2,8.09,7.2,None
3,8.13,3.5,None
4,8.24,10.7,[117]
5,8.55,6.9,None
6,7.63,5.1,None
7,6.79,8.4,[117]
8,7.02,2.6,[117]
9,8.88,9.3,None
10,8.87,11,None
