"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,4.59,6.8,"[327, 328]"
2,4.03,7.3,"[327, 328]"
3,4.51,7.7,"[327, 328]"
4,4.78,7.5,"[327, 328]"
5,4.56,7.4,"[327, 328]"
6,5.49,7.8,"[327, 328]"
7,5.03,3.5,"[327, 328]"
8,4.38,6.3,"[327, 328]"
9,4.19,1.6,"[327, 328]"
10,3.22,7.3,"[327, 328]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,5.02,5.6,None
2,5.06,6.3,None
3,5.22,5.4,None
4,5.27,5.5,None
5,5.72,5.8,None
6,5.2,7.1,None
7,4.99,7.9,None
8,4.89,9.2,None
9,5.33,7.5,None
10,5.16,5.4,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,5.09,5.6,"[327, 328]"
2,6.03,7.2,"[327, 328]"
3,6.77,5.4,"[327, 328]"
4,6.53,4.6,"[327, 328]"
5,3.64,7.4,"[327, 328]"
6,8.99,5.1,"[327, 328]"
7,9.03,9.8,"[327, 328]"
8,8.14,8.7,"[327, 328]"
9,8.21,6.3,None
10,7.88,6.6,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,9.09,5.5,"[20] x 2, [327, 328]"
2,9.86,5.3,None
3,7.68,7.9,None
4,10.02,9.2,None
5,9.55,10.3,"[798], [327, 328]"
6,7.47,5.6,[20] x 2
7,7.88,7.3,None
8,7.49,7.8,[798]
9,7.61,7.6,"[327, 328]"
10,8.05,4.3,"[798], [20]"
