"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,5.06,5.6,"[79, 116]"
2,4.22,7.8,None
3,3.98,7.5,None
4,3.76,5.5,None
5,4.01,5.3,None
6,4.04,4.9,None
7,4.91,8.1,None
8,3.89,6.5,None
9,3.77,6,None
10,3.65,8.8,None
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,4.01,5.5,None
2,4.55,6.1,None
3,4.62,7.8,None
4,5.02,7.2,None
5,4.98,5.8,None
6,5.33,5.9,None
7,5.17,9.1,None
8,5.03,3.4,None
9,5.02,4.5,None
10,5.11,5.5,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,5.09,5.5,None
2,5.62,6.7,None
3,5.17,8.4,None
4,4.98,5.5,None
5,4.33,5.2,None
6,5.19,5.4,None
7,5.66,6.9,None
8,5.27,8.1,None
9,5.33,6.6,None
10,5.27,6.4,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,9.09,8.8,None
2,9.68,7.9,None
3,9.15,7.1,None
4,6.24,5.6,None
5,7.19,5.3,None
6,7.02,4.7,None
7,7.33,8.3,None
8,9.08,10.3,None
9,8.11,4.5,None
10,8.26,6.2,None
