"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,19.97,3.5,"[22, 23, 36, 73, 99]"
2,20.09,2.7,"[22, 23, 36, 73, 99] x 2"
3,21.51,8.9,None
4,20.08,6.2,"[22, 23, 36, 73, 99]"
5,20.63,5.7,None
6,20.16,8.9,"[22, 23, 36, 73, 99]"
7,18.79,10.9,"[22, 23, 36, 73, 99] x 2"
8,19.51,5.2,"[22, 23, 36, 73, 99] x 2"
9,19.98,4.7,"[22, 23, 36, 73, 99] x 2"
10,20.03,3.3,"[22, 23, 36, 73, 99] x 2"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,44.61,2.9,"[22, 23, 36, 73, 99] x 2"
2,38.79,5.4,None
3,45.61,5.5,None
4,50.02,9.1,None
5,33.18,8.9,"[22, 23, 36, 73, 99] x 2"
6,18.77,3.5,None
7,30.02,7.2,"[22, 23, 36, 73, 99] x 2"
8,35.17,5.6,"[22, 23, 36, 73, 99] x 2"
9,36.12,8.3,"[22, 23, 36, 73, 99] x 2"
10,38.09,9.2,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,36.71,5.5,"[22, 23, 36, 73, 99]"
2,33.98,3.7,None
3,30.01,8.1,None
4,35.72,9.2,None
5,56.17,4.6,None
6,39.73,4.4,None
7,44.17,4.1,None
8,36.26,3.8,None
9,33.91,9.2,None
10,31.68,5.5,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,55.68,5.3,None
2,41.74,1.9,None
3,62.93,8.2,None
4,50.91,5.6,None
5,35.17,5.4,None
6,36.28,5.8,"[22, 23, 36, 73, 99]"
7,40.01,6.1,None
8,44.16,10.3,"[22, 23, 36, 73, 99] x 2"
9,41.63,5.2,"[22, 23, 36, 73, 99]"
10,31.88,5.6,None
