"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,27.46,7.1,None
2,40.54,4.5,None
3,28.59,2.9,None
4,33.47,3.6,None
5,40.71,5.4,None
6,36.76,8.7,None
7,32.19,1.9,None
8,32.37,2.4,None
9,20.45,6.2,None
10,27.27,10.8,None
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,38.5,6.5,None
2,43.82,8.9,None
3,44.76,4.6,None
4,38.09,4.2,"[79, 116]"
5,40.12,3.7,None
6,31.57,8.9,None
7,31.43,9.1,None
8,34.22,4.7,None
9,32.61,10.1,None
10,37.25,5.7,"[79, 116]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,43.28,9.7,None
2,39.77,6.8,[20]
3,53.87,6.2,[20]
4,41.11,5.8,[20]
5,51.37,9.2,None
6,49.8,4.6,None
7,51.93,6.4,None
8,48.63,4.3,None
9,42.1,6.4,[20]
10,41.56,4.2,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,77.48,5.7,None
2,64.04,8.8,None
3,81.74,7.2,[20]
4,89.63,4.6,None
5,87.71,6.3,None
6,80.23,3.5,[20]
7,94.12,7.8,[798]
8,61.84,9.4,None
9,54.99,4.4,None
10,55.93,3.2,None
