"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,5.98,7.3,"[327, 328]"
2,6.02,8.7,"[327, 328]"
3,5.73,8.9,"[327, 328]"
4,6.27,4.8,"[327, 328]"
5,6.11,5.4,"[327, 328]"
6,5.27,6.5,"[327, 328]"
7,5.38,6.2,"[327, 328]"
8,5.29,5.8,"[327, 328]"
9,5.11,9.3,"[327, 328]"
10,5.35,9.1,"[327, 328]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,6.02,7.8,None
2,5.98,7.6,None
3,5.63,5.3,None
4,5.78,6.8,None
5,5.99,7.1,None
6,5.26,5.9,None
7,5.44,5.3,None
8,6.17,5.2,None
9,6.22,2.4,None
10,4.54,4.9,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,7.08,3.3,None
2,7.92,5.5,[20]
3,7.03,11.6,[20]
4,6.34,5.2,None
5,6.55,6.1,None
6,6.79,6.3,None
7,7.44,6.8,[20] x 2
8,7.82,6.9,None
9,6.59,11.3,None
10,5.99,15.2,[20] x 4
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,6.77,4.2,[20] x 2
2,8.23,7.6,[20] x 2
3,9.02,7.8,[20] x 2
4,9.13,8.2,[20]
5,7.58,3.4,[20] x 2
6,7.88,5.6,[20]
7,7.24,6.8,[20] x 2
8,7.65,8.9,[20]
9,7.36,8.9,[20] x 2
10,7.13,9.2,[20] x 2
