"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,4.99,5.6,None
2,3.72,6.2,None
3,3.19,6.8,None
4,2.98,6.9,None
5,4.01,5.3,None
6,3.56,4.6,None
7,3.51,3.4,None
8,3.44,5.7,None
9,3.28,7.2,None
10,3.29,7.1,None
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,4.05,7.8,None
2,4.62,6.5,None
3,4.55,9.3,None
4,4.78,5.6,None
5,3.88,9.9,None
6,7.18,7.2,None
7,5.43,4.6,None
8,4.57,7.5,None
9,6.02,5.4,None
10,5.44,7.4,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,7.08,3.9,None
2,6.47,10.2,None
3,6.66,6.7,None
4,5.98,6.8,None
5,7.02,9.2,None
6,5.99,5.6,None
7,5.26,6.4,None
8,6.17,3.5,None
9,7.25,5.5,None
10,7.11,11.6,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,7.99,3.3,None
2,7.13,9.9,None
3,6.97,9.8,None
4,5.77,4.6,None
5,6.91,5.4,None
6,6.99,6.5,None
7,7.02,7.1,None
8,7.15,6.5,None
9,7.77,7.6,None
10,7.85,9.8,None
