"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,32.53,2.8,[798]
2,25.97,5.3,[798]
3,20.6,1.1,[798]
4,27.16,3.2,[798]
5,23.79,3.9,[798]
6,23.43,5.6,[798]
7,24.8,7.8,[798]
8,21.7,5.9,[798]
9,20.73,2.4,[798]
10,21.91,6.8,[798]
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,24.34,5.5,None
2,23.59,5.7,None
3,29.97,8.3,None
4,21.81,4.5,None
5,21.3,6.4,None
6,34.27,4.6,None
7,26.57,7.8,None
8,33.46,9.6,None
9,22.75,2.4,None
10,35.68,4.4,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,31.52,1.8,None
2,39.17,3.5,None
3,34.2,5.3,None
4,28.94,2.5,None
5,38.5,6,None
6,43.85,3.4,None
7,29.13,3.2,None
8,27.16,2.8,None
9,34.69,8.9,None
10,31.63,5.5,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,43.28,5.5,None
2,43.51,6.1,None
3,35.6,2.7,None
4,54.15,6.3,None
5,39.18,5.9,None
6,35.92,8.3,None
7,64.77,3.3,None
8,44.59,4.1,None
9,47.13,4.7,None
10,56.13,7.4,None
