"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,114.65,3.1,"[20], [209], [798] x 2"
2,99.57,5.3,"[20] x 3, [79, 116], [798] x 2"
3,132.16,4.7,"[798] x 2, [20]"
4,99.99,5.8,"[798] x 3, [20], [209]"
5,136.5,5.6,"[798] x 2, [20]"
6,144.78,9.1,"[20] x 3, [209]"
7,105.6,5.2,"[798] x 3, [20]"
8,135.92,5.4,[20]
9,112.33,5.5,"[798] x 3, [20]"
10,103.11,5.8,"[20], [209] x 3"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,166.54,5.6,"[20], [798] x 2"
2,159.46,7.3,"[20], [209] x 2"
3,534.56,7.8,[20]
4,198.44,7.9,[20]
5,197.21,7.1,"[20], [209], [798] x 2"
6,220.51,2.4,[20] x 2
7,216.24,3.6,"[20], [798] x 2"
8,196.79,5.5,"[209], [20], [798] x 2"
9,158.4,5.7,"[20], [798] x 2"
10,174.5,5.2,"[20], [209], [798] x 3"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,144.61,5.7,None
2,159.55,5.9,"[798] x 2, [20]"
3,142.93,8.1,"[79, 116]"
4,142.11,3.3,"[798] x 2, [20]"
5,167.59,6.2,"[20], [209]"
6,148.74,4.7,"[20], [20]"
7,131,8.9,"[798] x 2, [20]"
8,124.8,8.7,"[20], [20]"
9,143.39,8.5,None
10,166.85,8.2,[20]
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,296.24,5.6,None
2,95.57,8.9,None
3,286.07,9.1,None
4,284.46,2.5,None
5,253.81,7.3,[20]
6,248.4,5.6,"[1333, 400], [20]"
7,264.1,5.3,[20]
8,242.59,3.5,"[1333, 400], [20]"
9,271.92,6,None
10,284.29,7.8,None
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,263.89,3.2,None
2,144.62,5.7,None
3,134.41,7.8,"[798] x 2, [20], [1333, 400]"
4,129.96,7.1,None
5,169.21,7.2,"[798] x 2, [20]"
6,200.14,9.7,"[798] x 2, [20]"
7,148.36,8.2,"[798] x 2, [20]"
8,184.9,7.5,"[798] x 2, [20], [1333, 400]"
9,159.04,6.8,None
10,120.85,6.5,"[798] x 2, [20]"
