"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,149.34,5.1,"[798] x 2, [20]"
2,116.18,4.6,"[798] x 2, [20] x 2, [501]"
3,78.39,4.3,"[798] x 2, [20] x 2"
4,132.34,4.4,"[798] x 2, [20] x 2, [501], [209]"
5,126.52,4.8,"[798] x 2, [20] x 2, [501]"
6,127.05,8.1,"[798] x 2, [20] x 2, [501]"
7,117.78,3.5,"[798] x 2, [20] x 2, [501]"
8,146.86,3.6,"[798] x 2, [20], [209]"
9,158.43,4.7,"[798] x 2, [20] x 2, [501]"
10,254.89,4.8,"[798] x 2, [20] x 2, [501]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,146.88,5.5,None
2,151.12,5.4,"[798] x 2, [20], [501]"
3,119.94,4.7,"[798] x 2, [20] x 2"
4,172.38,5.1,None
5,155.15,5.9,None
6,116.18,6.8,"[20], [501], [798] x 2"
7,194.1,6.3,[20 x 2]
8,180.27,6.2,[20 x 2]
9,149.51,6.1,None
10,157.66,3.3,"[20] x 2, [501]"
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,157.54,3.3,[20]
2,177.74,3.4,[20]
3,171.33,3.5,"[20] x 2, [501], [327, 328]"
4,231.45,10.3,"[807, 290], [20], [501]"
5,201.6,7.1,"[20], [501]"
6,180.37,6.4,[20]
7,368.99,4.5,[20] x 2
8,133.4,4.4,"[20], [501]"
9,188.46,8.7,[20]
10,164.81,8.8,"[20], [501]"
