"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,147.27,5.3,None
2,339.96,4.4,None
3,170.89,4.1,None
4,108.19,3.4,None
5,169.34,4.2,None
6,96.3,2.7,None
7,97.67,7.5,None
8,266.66,4.3,None
9,163.9,3.6,None
10,113.23,6.3,None
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,127.15,5.5,None
2,146.38,5.7,None
3,156.22,5.8,None
4,130.29,6.1,None
5,131.86,5.7,None
6,132.12,6.8,None
7,150.86,6.4,None
8,107.32,6.5,None
9,136.67,5.4,None
10,151.72,5.1,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,136.33,3.6,None
2,141.42,3.2,None
3,167.13,4.5,None
4,202.57,4.4,None
5,186.55,4.9,None
6,189.59,5.3,None
7,142.33,5.1,None
8,161.93,10.2,None
9,161.97,7.5,None
10,168.79,8.3,None
