"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,None
2,,,None
3,,,None
4,,,None
5,,,None
6,,,None
7,,,None
8,,,None
9,,,None
10,,,None
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,None
2,,,None
3,,,None
4,,,None
5,,,None
6,,,None
7,,,None
8,,,None
9,,,None
10,,,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,None
2,,,None
3,,,None
4,,,None
5,,,None
6,,,None
7,,,None
8,,,None
9,,,None
10,,,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,N/A,
2,,N/A,
3,,N/A,
4,,N/A,
5,,N/A,
6,,N/A,
7,,N/A,
8,,N/A,
9,,N/A,
10,,N/A,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,None
2,,,None
3,,,None
4,,,None
5,,,None
6,,,None
7,,,None
8,,,None
9,,,None
10,,,None
