"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,334.73,3.8,"[20] x 2, [798]"
2,99.48,9.1,"[327, 328], [20] x 2, [798] x 2"
3,171.54,2.4,"[20] x 2, [798], [209] x 2"
4,94.78,2.5,"[20] x 2, [798] x 2"
5,162.76,6.3,"[20] x 2, [798]"
6,211.01,7.8,"[328, 328], [20] x 2, [798] x 2"
7,309.79,7.7,"[20] x 2, [79, 116], [209] x 2"
8,102.48,7.4,"[20] x 2, [798] x 2, [209]"
9,118.7,4.6,"[20] x 2, [798], [209] x 2"
10,140.05,6.3,"[20] x 2, [798] x 2, [209] x 2"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,495.58,5.3,"[20], [209] x 2"
2,194.78,4.6,"[20] x 4, [79, 116]"
3,224.28,6.2,"[798] x 2, [20], [79, 116], [209] x 2"
4,188.87,7.1,"[798], [20], [79, 116], [209]"
5,424.97,7.8,"[20] x 4, [79, 116]"
6,208.01,8.3,"[20] x 2, [798], [79, 116], [209] x 2"
7,248.94,5.2,"[20], [209] x 2"
8,516.72,5.5,"[20] x 2, [798], [79, 116], [209] x 2"
9,250.87,5.6,"[20], [209] x 2"
10,199.55,5.3,"[20] x 4, [79, 116]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,173.97,5.7,"[20] x 2, [209], [798] x 2"
2,193.27,9.3,"[20] x 2, [209], [798] x 2"
3,161.31,5.6,"[20] x 2, [1333, 400], [798] x 2"
4,135.1,10.3,"[798] x 2, [20] x 2, [209]"
5,168.05,5,"[20] x 2, [209], [798] x 2"
6,173.04,7.8,"[209], [20]"
7,166.53,7.9,"[20] x 2, [209]"
8,207.13,8.1,"[798] x 2, [20] x 2, [1333, 400]"
9,144.58,8.8,"[20] x 2, [798] x 2"
10,152.26,6.3,"[20] x 2, [209], [798] x 2"
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,N/A,
2,,N/A,
3,,N/A,
4,,N/A,
5,,N/A,
6,,N/A,
7,,N/A,
8,,N/A,
9,,N/A,
10,,N/A,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,157.65,5.6,[20] x 2
2,164.75,6.8,[20] x 2
3,178.07,6.1,"[798] x 2, [20] x 2"
4,178.87,6.5,"[798] x 2, [20], [79, 116]"
5,150.4,6.4,"[798] x 2, [20] x 2"
6,148.04,6.3,[20] x 2
7,157.62,5.7,"[798] x 2, [20] x 2"
8,247.89,10.3,"[798] x 2, [20] x 2"
9,183.13,9.9,[20] x 2
10,176.81,9.2,"[798] x 2, [20] x 2"
