"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,6.72,3.3,[20]
2,6.98,2.1,None
3,7.01,4.6,None
4,7.21,8.1,[20]
5,7.14,3.4,[20]
6,7.16,2.5,[20]
7,7.55,7.5,[20]
8,6.23,4.3,None
9,6.18,3.2,[20]
10,6.52,3.4,[20]
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,8.75,5.8,[20]
2,7.68,7.2,[20]
3,7.35,6.7,[20]
4,5.33,5.4,[20]
5,7.98,3.5,[20]
6,9.02,5.2,[20]
7,7.88,2.1,[20]
8,7.35,4.5,[20]
9,7.68,6.2,[20]
10,7.24,1.2,[20]
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,7.08,9.3,[20]
2,7.33,3.8,[20]
3,7.23,6.2,[20]
4,7.18,5.5,None
5,7.44,3.5,[20]
6,8.01,6.2,[20]
7,7.53,5.6,None
8,7.92,3.6,None
9,7.91,8.2,[20]
10,7.51,9.3,[20]
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,13.32,5.1,None
2,10.98,4.2,[20]
3,12.47,6.2,[20]
4,13.13,1.3,None
5,13.09,3.4,None
6,13.27,3.5,[20] x 2
7,13.97,7.1,[20]
8,13.53,3.5,[20]
9,13.78,6.1,[20] x 2
10,13.32,10.6,[20]
