"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,31.02,5.7,"[79, 116]"
2,30.51,8.4,"[79, 116]"
3,39.27,5.9,"[20], [79, 116]"
4,34.71,10.3,"[20], [79, 116]"
5,26.89,4.1,None
6,29.14,2.5,"[20], [79, 116]"
7,32.12,7.4,None
8,26.96,2.1,None
9,33.84,1.7,None
10,26.15,3.9,None
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,36.33,3.8,None
2,30.9,7.2,"[79, 116]"
3,27.84,4.9,None
4,32.44,5.1,"[20], [79, 116]"
5,29.85,2.4,None
6,29.78,3.6,"[79, 116]"
7,31.23,5.2,"[79, 116]"
8,34.63,7.8,"[20], [79, 116]"
9,26.63,4.2,None
10,30.74,2.1,"[79, 116]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,40.56,5.8,"[20], [79, 116]"
2,38.76,7.1,None
3,35.77,2.4,[20]
4,33.96,3.6,None
5,32.02,7.3,[20]
6,28.51,5.8,[20]
7,31.73,8.4,None
8,52.17,5.9,"[20], [79, 116]"
9,34.45,9.2,None
10,36.1,3.3,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,40.89,3.2,[20]
2,23.04,7.9,None
3,26.58,8.6,None
4,32.35,5.5,None
5,24.75,5.9,None
6,20.15,5.3,None
7,34.6,4.4,None
8,22.86,10.3,None
9,24.49,11.1,[20]
10,24.29,9.7,[20]
