"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,33.79,5.3,"[798] x 2, [20] x 4, [501]"
2,28.48,6.8,"[798] x 2, [20] x 2, [501]"
3,39.28,7.1,"[798] x 2, [20] x 2, [501]"
4,37.07,4.2,"[798] x 2, [20] x 3, [501], [117]"
5,31.26,4.9,"[798] x 2, [20] x 2, [501]"
6,38.16,8.5,"[798] x 2, [20], [501]"
7,35.35,4.6,"[798] x 2, [20], [501]"
8,36.53,2.2,"[807, 290], [20] x 3, [501], [798] x 2"
9,56.19,4.6,"[798] x 2, [20] x 2, [501]"
10,36.3,4.2,"[798] x 2, [20] x 3, [501] x 2"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,45.22,5.7,"[798] x 2, [20] x 4, [501]"
2,39.91,8.3,"[807, 290], [20] x 2, [798]"
3,44.43,4.6,"[807, 290], [20] x 4, [798] x 2"
4,43.15,6.8,"[798], [20] x 4, [501]"
5,40.17,2.1,"[798] x 2, [20] x 4, [501]"
6,42.4,2.5,"[807, 290], [20] x 3, [798] x 2"
7,48.19,5.3,"[807, 290], [20] x 2, [798] x 2"
8,36.07,3.6,"[798] x 2, [20] x 4, [501]"
9,38.2,7.5,"[807, 290], [20] x 2, [798] x 3"
10,40.34,4.3,"[798] x 2, [20] x 4, [501]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,42.73,5.8,"[20] x 2, [501]"
2,68.19,7.1,None
3,61.91,2.4,"[20], [501]"
4,62.49,9.8,"[20], [501]"
5,74.22,6.6,"[20] x 2, [501]"
6,49.36,7.4,"[20] x 3, [501]"
7,52.56,5.7,"[20] x 2, [117], [501]"
8,66.83,6.3,"[20] x 3, [501]"
9,67.33,4.5,"[20], [501]"
10,60.85,2.2,"[20], [807, 290] x 4"
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,40.92,5.5,"[20], [501]"
2,36.24,5.9,"[20], [501]"
3,45.42,8.1,[20] x 2
4,45.36,2.4,[20]
5,45.56,10.2,"[20], [501]"
6,51.4,2.4,[20]
7,41.59,3.5,"[20], [501]"
8,40.02,5.2,[20] x 2
9,35.71,3.4,"[20], [501]"
10,34.82,3.2,[20]
