"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,5.98,5.3,"[502], [20]"
2,6.12,6.5,"[502], [20]"
3,6.03,5.6,"[502], [20]"
4,6.45,4.6,"[502], [20]"
5,5.89,6.3,"[502], [20]"
6,5.78,3.5,"[502], [20]"
7,5.66,6.7,"[502], [20]"
8,5.68,4.6,"[502], [20]"
9,6.43,6.5,"[502], [20]"
10,6.11,4.3,"[502], [20]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,7.01,5.6,"[502], [20]"
2,6.74,7.3,"[502], [20]"
3,6.46,4.3,"[502], [20]"
4,6.99,2.4,"[502], [20]"
5,7.23,5.3,[502]
6,7.44,6.7,"[502], [20]"
7,6.54,6.4,"[502], [20]"
8,6.38,3.5,"[502], [20]"
9,7.93,6.4,"[502], [20]"
10,7.24,3.4,"[502], [20]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,7.11,2.8,[20] x 2
2,6.84,9.3,[20]
3,6.23,3.5,[20]
4,6.55,6.7,[20]
5,6.46,4.4,[20]
6,6.72,6.7,[20]
7,6.55,11.3,[20]
8,6.43,5.6,[20] x 2
9,6.21,6.5,[20]
10,6.12,6.7,[20]
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,11.98,N/A,None
2,8.92,N/A,None
3,6.17,N/A,None
4,10.99,N/A,None
5,11.31,N/A,None
6,10.14,N/A,[20]
7,12.34,N/A,None
8,9.11,N/A,None
9,11.34,N/A,[20]
10,8.88,N/A,None
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,11.34,3.5,None
2,10.56,6.5,[20]
3,10.22,6.3,None
4,10.01,3.5,None
5,11.31,6.3,None
6,11.29,3.2,None
7,10.97,1.5,None
8,10.68,6.5,[20]
9,10.53,3.3,None
10,10.64,2.2,None
