"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,59.84,5.8,"[20], [78], [78]"
2,46.17,7.3,"[78], [78]"
3,41.74,5.9,None
4,46.88,10.3,None
5,41.37,4.5,"[78] x 2, [78] x 2"
6,64.95,4.2,None
7,37.89,3.5,"[78], [78]"
8,50.71,6.4,"[209] x 5, [78]"
9,40.83,7,[20] x 3
10,53.72,4.2,[20]
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,39.01,3.5,None
2,30.32,6.8,[20]
3,40.83,7.2,[20] x 2
4,33.73,4.9,[20] x 2
5,30.23,8.4,[20] x 3
6,28.31,5.1,[20] x 2
7,27.87,2.4,None
8,26.91,4.6,[20] x 2
9,31.08,5.4,[20]
10,27.49,4.8,[20] x 2
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,43.21,5.8,[20] x 2
2,42.14,7.5,[20] x 2
3,41.38,4.6,[20]
4,30.19,8.9,"[1333, 400]"
5,40.93,8.3,[20] x 2
6,46.13,4.2,None
7,35.15,2.6,None
8,50.88,7.4,None
9,46.52,4.5,[20]
10,40.61,6.2,[20] x 2
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,26.99,5.9,None
2,20.97,8.4,None
3,23.41,4.7,[20] x 2
4,21.45,7.3,None
5,23.59,2.5,None
6,26.03,5.6,None
7,38.32,7.9,None
8,28.2,7.3,"[78], [78]"
9,21.7,2.5,"[20], [918]"
10,24.75,6.1,[20]
