"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,38.84,5.8,"[798], [20]"
2,38.07,7.3,[798]
3,55.91,5.9,"[798] x 2, [20] x 2"
4,57.51,7.5,"[798], [20] x 2"
5,46.87,5.6,"[798] x 2, [20] x 2"
6,58.43,5.4,"[798], [20]"
7,49.8,4.3,[798]
8,33.79,2.1,"[798], [20] x 2"
9,45.74,6.8,"[798], [20]"
10,32.4,6.9,[20] x 2
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,40.61,5.3,[20] x 2
2,56.34,6.7,[20] x 2
3,42.76,6.8,None
4,52.85,6.4,None
5,34.84,5.4,None
6,36.26,5.9,[20] x 2
7,43.16,8.1,None
8,65.61,2.4,[20]
9,48.01,3.2,None
10,43.19,6.7,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,62.38,5.3,"[20], [798]"
2,52.44,6.8,None
3,44.95,7.1,[20]
4,48.44,2.9,[20]
5,59.77,5.5,[20]
6,60.35,5.1,[20]
7,57.29,2.3,"[20], [327, 328]"
8,55.45,4.6,[20]
9,62.85,5.4,"[20], [117]"
10,45.43,4.7,[20] x 2
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,37.02,5.3,[20]
2,38.25,6.8,[20]
3,32.36,9.2,[20]
4,27.38,4.5,[20]
5,33.98,4.1,[20]
6,33.23,2.4,[20]
7,35.86,3.6,[20] x 2
8,32.31,6.1,[20]
9,35.99,2.4,[20]
10,34.71,4.8,[20]
