"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,4.05,5.6,[20]
2,4.75,7.3,"[22, 23, 36, 73, 99] x 3"
3,4.36,4.5,"[22, 23, 36, 73, 99], [23] x 2"
4,3.17,6.7,"[22, 23, 36, 73, 99] x 3"
5,4.98,9.1,"[22, 23, 36, 73, 99], [23] x 2"
6,5.62,11.2,"[22, 23, 36, 73, 99] x 3"
7,4.78,11.3,"[22, 23, 36, 73, 99] x 3"
8,5.02,5.6,"[22, 23, 36, 73, 99], [23] x 2"
9,5.34,7.3,"[22, 23, 36, 73, 99] x 3"
10,5.44,3.3,"[22, 23, 36, 73, 99], [23] x 2"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,6.02,3.2,[20]
2,6.44,4.9,[20]
3,6.38,5.8,[20]
4,6.19,5.3,[20]
5,7.02,5.4,[20]
6,6.77,5.6,[20]
7,6.35,5.5,[20]
8,7.02,2.3,[20]
9,7.34,3.1,[20]
10,7.88,2.5,[20]
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,5.01,3.3,[20]
2,5.02,8.9,[20]
3,5.62,9.2,[20]
4,5.44,1.3,[20]
5,7.19,4.5,[20]
6,4.27,6.8,[20]
7,8.24,9.8,[20]
8,5.48,10,[20]
9,5.99,11.3,[20]
10,6.01,7.5,[20]
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,5.59,3.3,None
2,8.09,9.8,None
3,7.89,8.6,[20] x 2
4,9.13,4.3,None
5,10.21,3.2,None
6,9.55,1.3,[20] x 2
7,10.48,4.5,[20]
8,11.29,2.2,None
9,8.93,4.6,[20] x 2
10,10.92,7.1,None
