"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,8.09,2.5,"[20] x 3, [79, 116] x 3, [209] x 2"
2,7.59,6.2,"[209] x 2, [20] x 3, [79, 116] x 3"
3,8.25,3.4,"[20] x 3, [79, 116] x 3, [209] x 2"
4,7.66,5.3,"[20] x 3, [79, 116] x 3, [209] x 2"
5,8.36,6.8,"[20] x 3, [79, 116] x 3, [209] x 2"
6,8.12,9.8,"[20] x 3, [79, 116] x 3"
7,8.53,9.8,[20]
8,8.93,2.3,"[20] x 3, [79, 116] x 3"
9,7.89,4.1,"[20] x 3, [79, 116] x 3, [209] x 2"
10,9.36,3.3,"[20] x 3, [79, 116] x 3"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,9.02,2.2,"[798] x 2, [20] x 2, [79, 116] x 2, [209]"
2,8.97,3.1,"[798] x 2, [20] x 2, [79, 116] x 2, [209]"
3,8.47,4.5,"[798] x 2, [20] x 3, [79, 116] x 3, [209]"
4,8.33,4.1,"[798] x 2, [20] x 2, [79, 116] x 2, [209]"
5,8.76,3.5,"[798] x 2, [20] x 2, [79, 116] x 2, [209]"
6,8.13,4.3,"[798] x 2, [20] x 2, [79, 116] x 2, [209]"
7,8.07,5.7,"[798] x 2, [20] x 2, [79, 116] x 2, [209]"
8,8.03,7.1,"[798] x 2, [20] x 2, [79, 116] x 2, [209]"
9,7.84,2.3,"[798] x 2, [20] x 2, [79, 116] x 2, [209]"
10,8.11,3.4,"[798] x 2, [20] x 2, [79, 116] x 2, [209]"
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,11.02,1.2,None
2,12.46,9.8,None
3,11.98,6.3,"[798] x 2, [20] x 3, [79, 116] x 2"
4,10.28,3.3,[20]
5,14.52,4.5,"[798] x 2, [20]"
6,13.21,4.3,None
7,10.23,3.4,None
8,12.45,4.3,"[1333, 400], [20], [79, 116]"
9,11.26,2.4,None
10,11.03,5.8,[20]
