"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,7.89,2.4,"[798] x 2, [20] x 2, [209] x 2"
2,9.08,5.3,None
3,7.36,2.4,"[798] x 2, [20] x 2, [209] x 2"
4,7.32,1.4,"[798] x 2, [20] x 2, [209] x 2"
5,5.68,6.2,"[798] x 2, [20] x 2"
6,7.58,5.3,"[798] x 2, [20] x 2"
7,7.92,5.7,"[798] x 2, [20] x 2, [209] x 2"
8,7.31,5.4,"[798] x 2, [20] x 2, [209] x 2"
9,7.02,5.2,"[798] x 2, [20] x 2, [209] x 2"
10,7.18,5.5,"[798] x 2, [20] x 2"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,6.9,3.4,"[20] x 2, [798] x 2"
2,6.13,3.2,"[20] x 2, [798] x 2"
3,6.74,5.6,"[20] x 2, [798] x 2"
4,7.52,7.3,"[20] x 2, [798] x 2"
5,8.18,7.4,"[20] x 2, [798] x 2"
6,7.36,1.2,"[20] x 2, [798] x 2"
7,8.09,3.2,"[20] x 2, [798] x 2, [209] x 2"
8,8.14,1.2,"[20] x 2, [798] x 2"
9,7.62,3.4,"[20] x 2, [798] x 2"
10,7.55,6.7,"[20] x 2, [798] x 2"
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,N/A,
2,,N/A,
3,,N/A,
4,,N/A,
5,,N/A,
6,,N/A,
7,,N/A,
8,,N/A,
9,,N/A,
10,,N/A,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,11.24,1.2,"[798] x 2, [20] x 2"
2,11.45,2.3,"[798] x 2, [20] x 2"
3,10.31,3.3,[20] x 2
4,12.47,1.5,[20] x 2
5,10.98,6.8,"[798] x 2, [20] x 2"
6,11.36,6.5,"[798] x 2, [20] x 2"
7,11.78,3.3,"[798] x 2, [20] x 2"
8,11.55,2.5,"[798] x 2, [20] x 2"
9,11.73,7.8,[20] x 2
10,11.23,9.3,[20] x 2
