"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,8.65,3.6,[20]
2,6.87,2.7,None
3,7.55,6.8,"[79, 116], [209] x 2"
4,6.85,6.5,"[79, 116], [209] x 2"
5,6.46,5.7,[20]
6,4.78,5.3,None
7,9.36,4.5,[20]
8,7.63,4.2,[20]
9,7.81,3.1,"[79, 116], [209] x 2"
10,7.99,1.2,[20]
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,9.01,2.3,[20]
2,8.99,4.2,[20]
3,8.62,1.5,[20]
4,6.83,6.2,[20]
5,7.79,7.5,[20]
6,8.02,6.6,[20]
7,8.09,5.4,[20]
8,8.76,4.4,[20]
9,7.99,3.2,[20]
10,7.35,1.5,[20]
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,N/A,
2,,N/A,
3,,N/A,
4,,N/A,
5,,N/A,
6,,N/A,
7,,N/A,
8,,N/A,
9,,N/A,
10,,N/A,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,11.29,5.5,[20]
2,11.36,9.1,[20]
3,12.02,8.8,[20]
4,12.54,8.5,[20]
5,12.73,4.3,[20]
6,11.68,3.5,[20]
7,11.29,7.8,[20]
8,11.65,3.1,[20]
9,11.43,2.3,[20]
10,11.26,5.2,[20]
