"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,7.62,3.2,"[20] x 2, [798] x 2"
2,7.83,4.6,"[20] x 2, [798] x 2"
3,7.88,5.2,"[20] x 2, [798] x 2"
4,7.92,6.8,"[20] x 2, [798] x 2"
5,6.45,5.1,"[20] x 2, [798] x 2"
6,7.98,4.5,"[20] x 2, [798] x 2"
7,7.12,6.2,"[20] x 2, [798] x 2"
8,7.14,3.5,"[20] x 2, [798]"
9,7.54,1.3,"[20] x 2, [798] x 2"
10,7.22,5.6,"[20] x 2, [798] x 2"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,8.02,5.6,"[20] x 4, [798] x 2"
2,8.76,7.3,"[20] x 2, [798] x 2, [209]"
3,7.98,4.5,"[20] x 2, [798] x 2, [209]"
4,7.85,6.8,"[20] x 4, [798] x 2, [209]"
5,7.63,4.2,"[20] x 2, [798] x 2, [209]"
6,7.12,5.7,"[20] x 4, [798] x 2, [209]"
7,9.22,3.2,"[20] x 2, [798] x 2, [209]"
8,9.01,1.3,"[20] x 4, [798] x 2"
9,8.77,7.9,"[20] x 2, [798] x 2, [209]"
10,8.66,5.3,"[20] x 4, [798] x 2"
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,N/A,
2,,N/A,
3,,N/A,
4,,N/A,
5,,N/A,
6,,N/A,
7,,N/A,
8,,N/A,
9,,N/A,
10,,N/A,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,8.56,3.6,[20] x 2
2,11.02,7.3,"[798] x 2, [20] x 2"
3,10.27,4.5,[20] x 2
4,9.87,6.1,"[798] x 2, [20] x 2"
5,12.41,2.3,[20] x 2
6,11.68,4.8,[20] x 2
7,11.22,9.1,[20] x 2
8,11.21,2.3,"[798] x 2, [20] x 2"
9,11.27,4.6,[20] x 2
10,10.23,5.1,[20] x 2
