"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,7.34,3.3,"[20], [78], [78], [209]"
2,7.15,2.3,"[20], [78], [78], [209]"
3,8.33,4.1,"[20], [78], [78], [209]"
4,7.82,2.6,"[20], [78], [78], [209]"
5,8.02,7.3,"[20], [78], [78], [209]"
6,7.98,5.7,"[20], [78], [78], [209]"
7,5.62,4.2,"[20], [78], [78], [209]"
8,7.57,3.5,"[20], [78], [78], [209]"
9,7.87,8.9,"[20], [78], [78], [209]"
10,7.65,9.2,"[20], [78], [78], [209]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,9.85,5.6,"[78], [78]"
2,8.99,7.2,None
3,9.25,7.8,None
4,10.33,9.2,None
5,11.27,4.5,None
6,12.61,4.3,"[79, 116]"
7,12.02,4.2,"[78], [78]"
8,12.31,4.6,"[78], [78]"
9,9.74,7.2,None
10,10.32,1.2,"[78], [78]"
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,N/A,
2,,N/A,
3,,N/A,
4,,N/A,
5,,N/A,
6,,N/A,
7,,N/A,
8,,N/A,
9,,N/A,
10,,N/A,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,11.29,5.6,None
2,12.15,5,None
3,11.98,2.1,None
4,10.72,2.4,None
5,11.31,5.1,None
6,11.31,8,None
7,11.25,7.9,None
8,11.77,4.2,None
9,13.26,2.6,"[79, 116]"
10,11.99,7.2,None
