"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,20.09,3.2,[20]
2,19.51,4.5,[20]
3,17.68,5.2,None
4,16.98,7.8,[20]
5,17.24,9.2,[20]
6,16.77,1.3,[20]
7,17.98,4.1,[20]
8,17.09,5.2,[20]
9,17.22,5.6,[20]
10,17.21,7.2,[20]
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,20.01,5.3,None
2,20.33,6.8,None
3,20.41,9.2,[20]
4,22.61,5.4,[20]
5,19.75,6.3,[20]
6,20.33,6.8,[20]
7,21.57,8.1,None
8,22.85,2.5,[20]
9,22.31,5.4,[20]
10,21.26,6.2,[20]
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,N/A,
2,,N/A,
3,,N/A,
4,,N/A,
5,,N/A,
6,,N/A,
7,,N/A,
8,,N/A,
9,,N/A,
10,,N/A,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,25.62,3.2,[20]
2,23.14,3.5,None
3,22.52,6.7,None
4,20.98,8.2,[20]
5,21.23,4.5,None
6,25.17,5.2,None
7,22.11,5.6,None
8,23.16,7.2,None
9,26.12,1.2,None
10,20.01,3.4,None
