"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,421.59,5.6,"[770, 307, 400], [22, 23, 36, 73, 99]"
2,224.97,7.8,"[770, 307, 400], [20]"
3,309.69,4.6,"[770, 307, 400], [20]"
4,217.34,6.2,"[770, 307, 400], [20], [22, 23, 36, 73, 99]"
5,303.08,7.8,"[770, 307, 400], [22, 23, 36, 73, 99] x 3"
6,485.36,9.3,"[770, 307, 400], [20]"
7,475.78,5.7,"[770, 307, 400], [22, 23, 36, 73, 99] x 2"
8,534.98,7.3,"[770, 307, 400], [20]"
9,363.09,3.6,"[770, 307, 400]"
10,283.92,7.1,"[770, 307, 400], [20], [22, 23, 36, 73, 99]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,205.61,2.3,"[770, 307, 400], [22, 23, 36, 73, 99]"
2,157.22,5.7,"[770, 307, 400], [22, 23, 36, 73, 99]"
3,339.44,8.2,[20]
4,185.22,3.5,"[770, 307, 400]"
5,183.95,4.7,"[770, 307, 400]"
6,133.54,9.2,"[770, 307, 400]"
7,147.86,3.9,"[770, 307, 400]"
8,143.61,4.7,"[770, 307, 400]"
9,141.61,3.5,"[770, 307, 400]"
10,148.02,2.1,"[770, 307, 400], [22, 23, 36, 73, 99]"
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,N/A,
2,,N/A,
3,,N/A,
4,,N/A,
5,,N/A,
6,,N/A,
7,,N/A,
8,,N/A,
9,,N/A,
10,,N/A,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,213.19,6.7,"[770, 307, 400]"
2,147.77,8.6,"[770, 307, 400]"
3,164.99,8.5,"[770, 307, 400]"
4,140.82,6.4,"[770, 307, 400], [20], [22, 23, 36, 73, 99]"
5,182.71,7.3,"[770, 307, 400]"
6,156.85,6.3,None
7,150.62,6.3,"[770, 307, 400], [22, 23, 36, 73, 99] x 2"
8,177.62,7.2,"[770, 307, 400], [20]"
9,180.24,5.7,"[770, 307, 400]"
10,155.52,4.6,"[770, 307, 400], [20]"
