"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,456.27,6.2,"[798], [770, 307, 400], [916], [20]"
2,446.91,7.8,"[798], [770, 307, 400], [20], [916]"
3,649.21,7.3,"[798], [770, 307, 400], [20], [916]"
4,367.51,5.6,"[798],  [916], [20]"
5,440.33,6.2,"[798],  [20], [916]"
6,709.33,4.4,"[798],  [20], [916]"
7,472.36,5.6,"[384], [770, 307, 400], [798], [20], [916]"
8,597.11,7.2,"[20], [916]"
9,505.99,3.4,"[770, 307, 400],  [20], [916]"
10,331.89,2.3,"[384], [770, 307, 400], [798], [20], [916]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,146.32,8.7,"[916], [20]"
2,205.62,9.2,"[384], [20] x 2"
3,288.67,3.6,[384]
4,300.02,5.3,"[384], [20] x 2"
5,305.35,3.4,[384]
6,268.56,4.3,"[384], [770, 307, 400], [20] x 2"
7,146.72,2.9,"[916], [20]"
8,203.33,3.8,[384]
9,177.24,4.1,"[798], [384], [20], [916]"
10,135.24,4.9,"[384], [20] x 2"
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,N/A,
2,,N/A,
3,,N/A,
4,,N/A,
5,,N/A,
6,,N/A,
7,,N/A,
8,,N/A,
9,,N/A,
10,,N/A,
