"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,58.77,8.8,"[770, 307, 400], [22, 23, 36, 73, 99] x 2, [20]"
2,59.13,7.2,[20] x 2
3,62.39,6.7,[20] x 3
4,51.98,3.4,[20] x 2
5,68.27,9.2,[20] x 2
6,61.99,3.9,[20] x 2
7,59.23,6.9,"[770, 307, 400], [22, 23, 36, 73, 99], [912, 434]"
8,59.51,5.4,"[20], [79, 116]"
9,54.11,4.8,[20] x 2
10,56.25,3.7,[20]
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,86.78,6.7,"[770, 307, 400], [22, 23, 36, 73, 99], [20] x 2"
2,71.69,9.2,[20] x 2
3,77.21,3.6,[20] x 2
4,51.36,7.5,[20] x 2
5,81.33,11.2,"[22, 23, 36, 73, 99], [20] x 2"
6,89.27,6.7,"[770, 307, 400], [22, 23, 36, 73, 99] x  2, [20] x 2"
7,91.23,8.9,[20] x 2
8,67.89,10.3,"[770, 307, 400], [22, 23, 36, 73, 99] x  2, [20] x 2"
9,72.91,10.1,[20] x 2
10,75.61,9.8,[20] x 2
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,49.07,6.1,[20] x 2
2,77.24,2.3,None
3,59.47,5.4,None
4,67.26,11.3,None
5,67.71,7.3,[20] x 3
6,79.05,9.2,"[20], [770, 307, 400], [22, 23, 36, 73, 99]"
7,60.44,8.8,[20] x 2
8,81.41,4.3,[20]
9,79.21,5.2,[20]
10,75.55,10.1,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,N/A,
2,,N/A,
3,,N/A,
4,,N/A,
5,,N/A,
6,,N/A,
7,,N/A,
8,,N/A,
9,,N/A,
10,,N/A,
