"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,289.95,7.6,None
2,333.22,8.3,None
3,362.15,5.7,None
4,340.66,1.9,None
5,452.99,2.8,None
6,331.81,5.3,None
7,233.02,4.5,None
8,279.66,6.6,None
9,204.18,2.7,None
10,210.48,8.2,None
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,50.61,8.3,None
2,51.37,5.6,None
3,48.79,9.8,None
4,49.35,3.5,None
5,50.63,4.8,None
6,57.81,5.3,None
7,56.13,4.6,None
8,55.98,5.5,None
9,55.61,8.1,None
10,54.01,2.3,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,139.81,9.6,None
2,162.91,7.5,None
3,168.58,4.8,None
4,124.06,3.4,None
5,124.91,5.7,None
6,148.02,7.1,None
7,234.32,8.2,None
8,152.82,3.9,None
9,144.91,4.4,None
10,133.42,3.3,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,N/A,
2,,N/A,
3,,N/A,
4,,N/A,
5,,N/A,
6,,N/A,
7,,N/A,
8,,N/A,
9,,N/A,
10,,N/A,
