"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,782.61,1.2,[916]
2,274.78,2.3,"[770, 307, 400], [916], [798], [20] x 3"
3,774.56,6.1,"[798], [770, 307, 400], [916], [20]"
4,355.84,4.3,"[916], [798], [20]"
5,304.87,5.4,"[916], [798], [20]"
6,352.11,7.1,"[798], [770, 307, 400], [20], [916]"
7,258.76,3.1,"[798], [770, 307, 400], [20] x 2, [916]"
8,356.73,4.2,"[916], [798], [20] x 2"
9,791.02,5.6,"[916], [798], [20] x 2"
10,294.26,7.8,"[770, 307, 400], [798], [916], [20] x 2"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,84.81,7.8,"[798], [20] x 3"
2,78.13,9.2,[798]
3,95.61,5.6,[798]
4,92.38,3.5,"[798], [20] x 3"
5,86.19,6.1,None
6,85.72,2.3,"[798], [20] x 2"
7,83.46,4.4,[20] x 2
8,89.98,8.1,"[798], [20] x 2"
9,80.02,4.2,"[798], [20] x 2"
10,83.33,3.1,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,156.36,9.2,None
2,158.61,6.6,[20] x 3
3,177.43,5.3,"[20] x 2, [798]"
4,151.05,4.5,"[770, 307, 400], [20]"
5,133.26,7.8,"[20], [916]"
6,153.98,9.2,"[20] x 2, [798]"
7,150.52,3.3,None
8,166.16,4.4,None
9,144.35,5.6,None
10,382.25,7.1,"[798], [770, 307, 400], [916]"
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,N/A,
2,,N/A,
3,,N/A,
4,,N/A,
5,,N/A,
6,,N/A,
7,,N/A,
8,,N/A,
9,,N/A,
10,,N/A,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,240.57,3.3,[20] x 4
2,180.99,1.2,"[20] x 3, [798]"
3,327.69,6.8,"[20] x 3, [798]"
4,252.29,4.2,[20] x 3
5,243.39,6.7,[20]
6,180.09,3.5,[20] x 4
7,200.02,6.3,[20]
8,231.55,3.5,"[20] x 3, [798]"
9,264.32,4.6,"[770, 307, 400], [20] x 3"
10,166.54,7.2,[20] x 3
