"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,791.92,5.5,"[770, 307, 400], [78]"
2,791.77,7.8,[918]
3,790.92,9.2,"[770, 307, 400]"
4,279.67,5.6,[918]
5,323.87,3.5,"[770, 307, 400], [78]"
6,243.63,6.2,"[770, 307, 400], [20, 80, 116], [78]"
7,771.96,1.5,"[770, 307, 400], [78], [20]"
8,555.62,6.2,"[770, 307, 400], [78]"
9,453.61,2.3,"[770, 307, 400], [78]"
10,288.02,4.4,"[770, 307, 400], [78], [20]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,146.22,5.3,None
2,309.96,5.6,"[770, 307, 400]"
3,108.73,2.8,"[770, 307, 400]"
4,130.94,9.2,None
5,233.44,2.4,"[770, 307, 400], [78]"
6,93.75,6.3,"[770, 307, 400]"
7,148.27,5.8,"[770, 307, 400]"
8,184.27,6.1,"[770, 307, 400]"
9,129.56,7.9,None
10,115.35,8.7,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,N/A,
2,,N/A,
3,,N/A,
4,,N/A,
5,,N/A,
6,,N/A,
7,,N/A,
8,,N/A,
9,,N/A,
10,,N/A,
