"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,77.98,5.6,"[770, 307, 400]"
2,68.91,8.1,[798]
3,83.46,9.2,"[770, 307, 400]"
4,76.92,2.3,None
5,75.81,4.5,None
6,77.93,6.1,"[770, 307, 400]"
7,79.52,6.2,"[770, 307, 400]"
8,72.33,7.3,None
9,71.84,4.8,[798]
10,72.46,9.3,None
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,88.71,9.2,None
2,89.16,8.3,None
3,92.31,7.6,None
4,78.57,10.2,None
5,87.15,7.5,None
6,91.13,8.3,None
7,90.08,4.5,None
8,89.01,6.1,[20]
9,85.63,3.9,"[770, 307, 400]"
10,83.62,8.5,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,95.61,9.6,None
2,78.24,7.2,[20] x 2
3,91.35,11.1,[20] x 2
4,92.81,3.2,[20]
5,88.72,5.6,None
6,89.57,6.6,None
7,90.01,5.2,[20]
8,94.17,5.4,[20] x 2
9,92.24,7.3,None
10,95.22,3.4,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,N/A,
2,,N/A,
3,,N/A,
4,,N/A,
5,,N/A,
6,,N/A,
7,,N/A,
8,,N/A,
9,,N/A,
10,,N/A,
