"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,8.9,11.2,"[770, 307, 400], [20], [22, 23, 36, 73, 99]"
2,7.53,8.9,"[770, 307, 400], [20]"
3,5.78,9.9,"[770, 307, 400], [843] x 3, [20]"
4,5.43,12.6,"[770, 307, 400], [20]"
5,6.02,16.3,"[770, 307, 400], [843] x 2, [20], [22, 23, 36, 73, 99]"
6,5.33,11.4,"[770, 307, 400], [20]"
7,6.78,15.3,"[20], [770, 307, 400]"
8,4.96,11.4,"[770, 307, 400], [843], [20]"
9,5.27,16.4,"[770, 307, 400], [20]"
10,8.02,11.7,"[770, 307, 400], [843], [20]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,73.12,N/A,"[22, 23, 36, 73, 99], [601] x 2, [209, 497]"
2,55.31,N/A,"[22, 23, 36, 73, 99] x 3"
3,33.98,N/A,None
4,40.09,N/A,"[22, 23, 36, 73, 99]"
5,31.92,N/A,"[209, 497]"
6,35.76,N/A,None
7,39.71,N/A,"[22, 23, 36, 73, 99] x 3"
8,32.44,N/A,None
9,58.72,N/A,"[22, 23, 36, 73, 99] x 2, [601], [215, 489]"
10,33.45,N/A,"[22, 23, 36, 73, 99] x 2, [79, 116]"
,,N/A,
