"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,16.07,5.3,"[770, 307, 400]"
2,9.87,2.4,"[770, 307, 400]"
3,12.33,2.6,"[770, 307, 400]"
4,15.62,3.5,"[770, 307, 400]"
5,11.48,6.4,"[770, 307, 400]"
6,13.98,7.8,"[770, 307, 400]"
7,12.36,2.9,"[770, 307, 400]"
8,10.22,9.2,"[770, 307, 400]"
9,15.78,7.4,"[770, 307, 400]"
10,16.96,7.3,"[770, 307, 400]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,5.01,4.7,"[770, 307, 400]"
2,4.97,3.7,[20]
3,5.36,1.1,"[770, 307, 400]"
4,4.88,4.6,"[770, 307, 400]"
5,5.08,2.3,"[770, 307, 400]"
6,4.77,3.1,"[770, 307, 400]"
7,4.62,9.8,"[770, 307, 400]"
8,5.33,9.1,"[770, 307, 400]"
9,5.21,6.7,"[770, 307, 400]"
10,4.71,8.8,"[770, 307, 400]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,8.02,4.4,"[770, 307, 400]"
2,6.93,2.4,"[770, 307, 400]"
3,6.53,3.5,"[770, 307, 400]"
4,7.21,10.2,"[770, 307, 400]"
5,7.33,4.9,"[770, 307, 400]"
6,7.48,6.5,"[770, 307, 400]"
7,7.91,9.6,"[770, 307, 400], [843]"
8,8.32,7.8,"[770, 307, 400]"
9,7.62,11.3,"[770, 307, 400]"
10,7.55,15.7,"[770, 307, 400]"
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,6.55,N/A,[20] x 2
2,4.02,N/A,None
3,5.98,N/A,None
4,6.63,N/A,None
5,6.12,N/A,None
6,8.92,N/A,"[770, 307, 400]"
7,7.62,N/A,None
8,5.24,N/A,None
9,5.29,N/A,"[770, 307, 400]"
10,11.89,N/A,[20]
