"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,4.02,4.4,[798]
2,3.53,1.8,[798]
3,3.48,7.6,[798]
4,3.76,6.5,[798]
5,3.42,8.9,[798]
6,3.28,9.2,[798]
7,3.96,3.4,[798]
8,3.92,4.6,[798]
9,3.91,7.2,[798]
10,3.82,9.3,[798]
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,4.02,4.4,"[770, 307, 400], [20]"
2,4.31,8.1,None
3,3.97,7.6,None
4,4.53,4.3,None
5,5.02,4.2,None
6,4.21,4.5,None
7,4.91,8.2,"[770, 307, 400]"
8,4.23,9.1,None
9,4.26,4.9,None
10,4.09,8.3,"[770, 307, 400], [20]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,7.09,5.3,[20]
2,6.03,3.9,None
3,6.52,4.1,None
4,7.31,4.6,[20]
5,6.09,6.3,None
6,7.11,1.8,None
7,6.92,7.2,[20]
8,6.81,2.5,None
9,6.87,2.9,None
10,6.65,9.2,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,N/A,
2,,N/A,
3,,N/A,
4,,N/A,
5,,N/A,
6,,N/A,
7,,N/A,
8,,N/A,
9,,N/A,
10,,N/A,
