"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,31.46,3.2,"[770, 307, 400], [20]"
2,49.9,1.8,"[770, 307, 400], [20]"
3,28.49,9.3,"[770, 307, 400]"
4,24.49,5.5,"[770, 307, 400]"
5,29.23,4.2,"[770, 307, 400], [20]"
6,41.63,2.7,"[770, 307, 400], [20]"
7,29.08,7.5,"[770, 307, 400], [20]"
8,32.39,4.3,"[770, 307, 400], [20]"
9,39.65,3.2,"[770, 307, 400], [843]"
10,44.81,4.7,"[770, 307, 400], [20]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,14.94,1.7,"[770, 307, 400]"
2,15.62,5.3,"[770, 307, 400], [22, 23, 36, 73, 99] x 2"
3,19.89,3.4,"[770, 307, 400]"
4,17.85,2.6,"[770, 307, 400]"
5,20.01,7.3,"[770, 307, 400]"
6,20.43,5.5,None
7,14.87,4.6,"[770, 307, 400]"
8,14.2,4.2,"[770, 307, 400]"
9,21.24,2.3,None
10,14.78,4.4,"[770, 307, 400], [22, 23, 36, 73, 99]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,18.89,5.9,"[770, 307, 400]"
2,15.04,8.1,None
3,18.4,3.4,"[770, 307, 400]"
4,14.36,2.6,"[770, 307, 400]"
5,16.27,5.3,"[770, 307, 400]"
6,14.77,3.1,"[770, 307, 400]"
7,15.92,2.5,"[770, 307, 400]"
8,17.56,5.6,"[770, 307, 400]"
9,17.39,7.3,"[770, 307, 400]"
10,18.19,1.4,"[770, 307, 400]"
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,16.23,2.7,"[770, 307, 400]"
2,17.45,6.4,"[770, 307, 400]"
3,13.72,3.5,"[770, 307, 400]"
4,14.79,4.1,"[770, 307, 400]"
5,30.19,3.2,"[770, 307, 400]"
6,17.68,5.6,"[770, 307, 400]"
7,15.83,4.7,"[770, 307, 400]"
8,17.35,3.2,"[770, 307, 400]"
9,14.82,2.1,"[770, 307, 400]"
10,15.59,2.4,"[770, 307, 400]"
