"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,19.08,2.9,"[770, 307, 400], [798], [20]"
2,14.5,3.1,"[798], [770, 307, 400], [20]"
3,12.95,4.8,"[798], [770, 307, 400], [20]"
4,18.98,2.4,"[798], [770, 307, 400], [20]"
5,20.16,2.6,"[770, 307, 400], [798], [20]"
6,18.67,5.4,"[798], [770, 307, 400], [20]"
7,16.29,4.8,"[798], [770, 307, 400], [20]"
8,20.93,5.1,"[798], [770, 307, 400], [20]"
9,15.72,4.7,"[798], [770, 307, 400], [20]"
10,13.66,5.7,"[798], [770, 307, 400], [20]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,21.96,2.1,"[798], [770, 307, 400]"
2,18.69,1.9,"[798], [770, 307, 400]"
3,20.11,3.4,"[798], [770, 307, 400]"
4,20.07,5.3,"[798], [20]"
5,22.1,3.7,"[798], [770, 307, 400]"
6,20.54,6.5,"[798], [770, 307, 400], [20]"
7,18.86,4.3,"[798], [770, 307, 400]"
8,18.68,2.6,"[798], [770, 307, 400]"
9,23.38,7.2,"[798], [770, 307, 400]"
10,18.13,1.2,"[798], [770, 307, 400]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,101.06,2.1,"[798], [20] x 2"
2,102.44,1.9,"[798], [770, 307, 400]"
3,91.4,3.4,"[798], [20] x 2"
4,78.45,5.6,"[798], [770, 307, 400]"
5,109.54,7.3,"[798], [20] x 2"
6,103.59,2.4,"[798], [770, 307, 400]"
7,90.26,2.1,"[798], [770, 307, 400]"
8,110.94,2.5,"[798], [20] x 2"
9,119.46,6.3,[798]
10,108.03,2.4,"[798], [770, 307, 400]"
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,81.48,2.9,"[770, 307, 400]"
2,70.44,5.1,"[798], [770, 307, 400]"
3,89.36,3.8,"[798], [770, 307, 400]"
4,122.24,4.4,"[770, 307, 400]"
5,71.88,4.2,"[352], [798]"
6,86.81,6.9,"[770, 307, 400]"
7,45.24,8.1,"[770, 307, 400]"
8,42.22,5.5,"[770, 307, 400]"
9,56.96,4.2,"[770, 307, 400]"
10,39.56,2.6,"[770, 307, 400]"
