"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,61.78,2.8,"[798], [770, 307, 400], [20] x 2"
2,46.47,5.9,"[798], [20]"
3,53.94,3.4,"[798], [770, 307, 400]"
4,48.44,2.6,"[798], [770, 307, 400], [916], [20]"
5,53.65,7.3,"[798], [770, 307, 400], [20] x 2"
6,60,4.2,"[798], [20]"
7,62.8,1.5,"[798], [770, 307, 400]"
8,79.76,5.3,"[798], [770, 307, 400], [20] x 2"
9,52.88,2.2,"[798], [770, 307, 400]"
10,93.17,4.7,"[798], [20]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,25.22,2.1,"[798], [770, 307, 400]"
2,19.72,2.6,"[798], [770, 307, 400]"
3,23.3,4.2,"[798], [770, 307, 400], [20]"
4,18.52,3.6,"[798], [770, 307, 400]"
5,20.3,2.1,"[798], [770, 307, 400]"
6,21.16,2.4,"[798], [770, 307, 400], [20]"
7,19.86,5.4,"[798], [770, 307, 400]"
8,20.08,6.7,"[798], [770, 307, 400]"
9,19.84,4.3,"[798], [770, 307, 400]"
10,19.98,2.4,"[798], [770, 307, 400], [20]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,25.33,2.8,"[798], [770, 307, 400]"
2,22.87,3.4,None
3,22.89,2.6,None
4,18.27,4.3,[20] x 2
5,21.47,6.9,None
6,21.06,5.2,[798]
7,18.66,5.3,"[798], [20]"
8,19.87,3.7,None
9,18.32,3.1,[20]
10,19.93,2.6,"[770, 307, 400], [20]"
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,57.13,3.7,None
2,61.53,8.1,None
3,118.56,2.6,"[770, 307, 400]"
4,51.5,6.9,"[798], [20]"
5,58.5,6.3,"[770, 307, 400]"
6,51.11,3.2,None
7,89.33,2.7,[20]
8,45.23,5.4,[20]
9,57.03,4.3,"[770, 307, 400]"
10,57.18,3.7,"[770, 307, 400]"
