"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,30.97,2.8,[798]
2,36.79,3.1,[798]
3,32.44,4.9,[798]
4,31.91,8.5,[798]
5,25.29,4.2,[798]
6,33.55,2.6,None
7,25.24,1.2,[798]
8,52.31,3.5,[798]
9,36.03,2.2,[798]
10,29.07,3.1,[798]
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,50.34,2.8,[20]
2,41.46,9.2,[20]
3,49.25,5.7,[20]
4,42.85,3.3,[20] x 2
5,48.6,2.5,[20]
6,52.9,7.3,[20]
7,38.61,9.4,[20]
8,46.48,3.5,[20] x 2
9,44.29,6.3,[20]
10,49.44,2.5,[20]
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,24.4,2.5,[20]
2,16.06,6.9,None
3,15.97,8.1,None
4,17.68,4.2,None
5,27.32,4.4,None
6,15.97,4.7,[20]
7,27.87,5.3,None
8,18.63,4.6,None
9,73.29,2.2,[20]
10,18.53,2.5,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,21.79,2.8,None
2,21.27,9.1,[20]
3,17.39,2.5,None
4,13.53,5.3,None
5,16.95,3.8,None
6,13.02,6.4,None
7,18.74,4.3,[20]
8,17.14,6.8,None
9,17.33,4.3,None
10,16.01,3.2,None
