"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,3.88,4.7,"[20], [79, 116]"
2,4.01,1.1,"[20], [79, 116]"
3,4.61,7.8,"[20], [79, 116]"
4,4.52,4.5,"[20], [79, 116]"
5,3.97,5.3,"[20], [79, 116]"
6,4.88,1.1,"[20], [79, 116]"
7,4.21,3.9,"[20], [79, 116]"
8,4.44,5.2,"[20], [79, 116]"
9,4.32,4.5,"[20], [79, 116]"
10,4.51,7.8,"[20], [79, 116]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,4.51,3.7,[20]
2,4.62,5.6,"[20], [79, 116]"
3,4.33,4.7,"[20], [79, 116]"
4,4.42,4.2,"[20], [79, 116]"
5,4.73,9.1,"[20], [79, 116]"
6,4.29,8.3,[20]
7,4.36,4.4,"[20], [79, 116]"
8,4.48,2.6,"[20], [79, 116]"
9,4.11,9.3,[20]
10,4.02,8.1,"[20], [79, 116]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,4.48,6.5,[20]
2,4.98,1.1,[20]
3,5.02,6.6,[20]
4,5.33,4.2,[20]
5,5.01,3.8,[20]
6,4.77,5.9,[20]
7,4.61,5.8,[20]
8,4.55,5.4,[20]
9,4.99,6.1,[20]
10,5.07,10.3,[20]
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,3.96,N/A,None
2,1.43,N/A,"[20], [79, 116]"
3,3.01,N/A,"[20], [79, 116]"
4,2.23,N/A,None
5,2.35,N/A,None
6,1.57,N/A,None
7,1.15,N/A,"[20], [79, 116]"
8,2.03,N/A,None
9,2.49,N/A,None
10,3.09,N/A,None
