"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,3.53,4.7,"[770, 307, 400], [20], [22, 23, 36, 73, 99]"
2,4.02,3.2,"[770, 307, 400], [20], [22, 23, 36, 73, 99]"
3,4.31,8.2,"[770, 307, 400], [20], [22, 23, 36, 73, 99]"
4,3.92,6.1,"[770, 307, 400], [20], [22, 23, 36, 73, 99]"
5,3.86,7.2,"[770, 307, 400], [20], [22, 23, 36, 73, 99]"
6,3.35,1.9,"[770, 307, 400], [20], [22, 23, 36, 73, 99]"
7,3.99,4.1,"[770, 307, 400], [20], [22, 23, 36, 73, 99]"
8,3.22,1.1,"[770, 307, 400], [20], [22, 23, 36, 73, 99]"
9,3.31,3.4,"[770, 307, 400], [20], [22, 23, 36, 73, 99]"
10,3.92,7.2,"[770, 307, 400], [20], [22, 23, 36, 73, 99]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,3.95,4.7,"[770, 307, 400], [20], [22, 23, 36, 73, 99]"
2,4.03,4.1,"[770, 307, 400], [20]"
3,4.03,4.3,"[770, 307, 400], [843] x 3, [20]"
4,3.87,7.2,"[770, 307, 400], [843] x 3, [20]"
5,3.98,6.2,"[770, 307, 400], [20]"
6,4.16,1.1,"[770, 307, 400], [843] x 3, [20]"
7,3.88,2.2,"[770, 307, 400], [22, 23, 36, 73, 99]"
8,3.92,8.3,"[770, 307, 400], [20], [22, 23, 36, 73, 99]"
9,4.03,6.7,"[770, 307, 400], [843] x 3, [20]"
10,4.12,9.2,"[770, 307, 400], [843] x 3, [20]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,3.57,13.7,"[770, 307, 400], [20]"
2,4.02,7.2,"[770, 307, 400]"
3,4.96,9.8,"[770, 307, 400], [20]"
4,4.05,7.6,"[770, 307, 400], [20]"
5,4.11,9.1,"[770, 307, 400]"
6,3.78,5.1,"[770, 307, 400]"
7,4.02,4.2,"[770, 307, 400]"
8,4.18,2.5,"[770, 307, 400]"
9,3.91,10.3,"[770, 307, 400]"
10,3.98,7.4,"[770, 307, 400], [20]"
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,2.33,N/A,None
2,4.86,N/A,"[770, 307, 400]"
3,3.04,N/A,"[22, 23, 36, 73, 99]"
4,5.01,N/A,None
5,2.89,N/A,None
6,2.82,N/A,"[770, 307, 400]"
7,3.02,N/A,"[770, 307, 400], [843], [20]"
8,4.01,N/A,None
9,2.68,N/A,[20] x 2
10,3.87,N/A,[20]
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,5.08,24.7,"[770, 307, 400]"
2,5.14,8.6,"[770, 307, 400]"
3,6.73,5.3,None
4,5.92,8.9,"[770, 307, 400]"
5,5.68,7.2,"[770, 307, 400]"
6,5.46,4.4,[117] x 4
7,5.33,6.1,None
8,5.02,6.2,"[770, 307, 400]"
9,6.01,5.3,"[770, 307, 400]"
10,6.33,19.1,"[770, 307, 400]"
