"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,5.83,4.4,[20]
2,5.07,4.8,[20]
3,5.23,6.2,[20]
4,5.91,8.1,[20]
5,5.22,2.7,[20]
6,6.04,4.3,[20]
7,5.72,8.9,[20]
8,6.09,5.4,[20]
9,5.66,7.2,[20]
10,5.31,8.6,[20]
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,4.98,6.8,[20]
2,4.07,4.4,[20]
3,4.66,2.8,[20]
4,4.98,4.3,[20]
5,5.32,7.1,[20]
6,5.13,2.3,[20]
7,4.75,1.4,[20]
8,5.37,4.2,[20]
9,5.44,1.1,[20]
10,5.92,9.2,[20]
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,5.02,4.4,[20]
2,5.34,4.9,[20]
3,5.22,4.4,[20]
4,5.13,4.3,[20]
5,5.98,4.5,[20]
6,5.41,6.1,[20]
7,5.26,3.2,[20]
8,5.29,6.4,[20]
9,5.02,2.5,[20]
10,5.01,9.8,[20]
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,2.87,N/A,None
2,2.77,N/A,[20]
3,3.34,N/A,[20]
4,2.56,N/A,None
5,6.72,N/A,[20]
6,3.79,N/A,None
7,3.13,N/A,None
8,2.53,N/A,None
9,5.25,N/A,None
10,2.86,N/A,[20]
