"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,3.02,7.3,None
2,3.01,9.2,None
3,2.98,9.8,None
4,3.33,9.2,None
5,3.32,11.4,None
6,3.29,4.2,None
7,3.11,7.9,None
8,3.15,3.1,None
9,3.21,3.5,None
10,3.62,7.4,None
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,4.01,13.9,None
2,3.98,7.3,None
3,3.78,8.9,None
4,4.02,11.2,None
5,3.54,5.3,None
6,3.68,4.9,None
7,3.92,6.1,None
8,4.02,4.5,None
9,3.98,3.2,None
10,4.06,7.1,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,8.03,20.9,None
2,2.98,9.8,None
3,6.52,11.3,None
4,6.04,5.6,None
5,6.03,7.2,None
6,3.21,8.7,None
7,7.38,6.1,None
8,3.51,4.2,None
9,4.28,5.9,None
10,5.96,10.5,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,2.06,N/A,None
2,2.34,N/A,None
3,4.11,N/A,None
4,3.54,N/A,None
5,3.37,N/A,None
6,3.97,N/A,None
7,2.46,N/A,None
8,2.49,N/A,None
9,2.51,N/A,None
10,2.33,N/A,None
