"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,3.07,4.4,"[770, 307, 400], [78]"
2,3.56,1.5,"[770, 307, 400], [78]"
3,3.92,3.4,"[770, 307, 400], [78]"
4,3.61,3.2,"[770, 307, 400], [78]"
5,3.68,10.3,"[770, 307, 400], [78]"
6,3.47,8.2,"[770, 307, 400], [78]"
7,3.09,3.1,"[770, 307, 400], [78]"
8,3.16,7.6,"[770, 307, 400], [78]"
9,3.18,5.2,"[770, 307, 400], [78]"
10,3.19,10.9,"[770, 307, 400], [78]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,5.01,4.5,"[770, 307, 400]"
2,5.02,3.6,"[770, 307, 400], [78]"
3,5.21,2.9,"[770, 307, 400]"
4,5.08,4.3,"[770, 307, 400]"
5,5.09,9.2,"[770, 307, 400], [78]"
6,5.33,3.2,"[770, 307, 400], [78]"
7,5.41,5.4,"[770, 307, 400]"
8,5.26,6.2,"[770, 307, 400], [78]"
9,5.72,8.7,"[770, 307, 400]"
10,5.22,10.1,"[770, 307, 400], [78]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,6.01,4.4,"[770, 307, 400], [78]"
2,6.31,5.5,"[770, 307, 400], [78]"
3,6.22,4.8,"[770, 307, 400], [78]"
4,6.02,2.6,"[770, 307, 400], [78]"
5,6.54,4.4,"[770, 307, 400], [78]"
6,6.27,8.6,"[770, 307, 400], [78]"
7,6.32,1.7,"[770, 307, 400], [78]"
8,6.57,5.1,"[770, 307, 400], [78]"
9,6.11,10.2,"[770, 307, 400], [78]"
10,6.09,3.1,"[770, 307, 400], [78]"
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,4.12,N/A,None
2,3.98,N/A,None
3,2.76,N/A,None
4,3.87,N/A,[78]
5,3.89,N/A,None
6,2.22,N/A,"[770, 307, 400]"
7,4.21,N/A,None
8,3.02,N/A,None
9,3.66,N/A,None
10,4.62,N/A,None
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,7.01,4.3,None
2,6.97,10.1,None
3,7.33,8.9,[78]
4,7.25,7.6,None
5,7.28,7.5,[78]
6,7.91,7.3,[78]
7,7.52,7.1,None
8,7.64,7.2,None
9,7.68,11.2,[78]
10,7.88,14.1,None
