"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,4.98,4.4,[798]
2,5.01,5.8,[798]
3,4.97,4.9,[798]
4,5.03,5.1,[798]
5,5.11,4.8,[798]
6,4.92,4.6,[798]
7,4.88,3.5,[798]
8,5.17,9.2,[798]
9,5.33,7.6,[798]
10,5.12,8.1,[798]
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,5.11,6.8,[798]
2,5.06,3.3,[798]
3,5.08,7.1,[798]
4,5.92,6.2,[798]
5,5.61,2.1,[798]
6,5.44,4.3,[798]
7,5.03,7.2,[798]
8,5.01,5.6,[798]
9,5.61,9.2,[798]
10,5.22,8.1,[798]
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,4.92,4.5,[798]
2,5.03,1.1,[798]
3,5.22,1.3,[798]
4,5.61,6.2,[798]
5,5.01,7.1,[798]
6,4.87,6.4,[798]
7,4.82,5.6,[798]
8,4.32,2.4,[798]
9,4.41,6.1,[798]
10,4.46,9.3,[798]
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,N/A,
2,,N/A,
3,,N/A,
4,,N/A,
5,,N/A,
6,,N/A,
7,,N/A,
8,,N/A,
9,,N/A,
10,,N/A,
