"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,8.09,1.3,[20]
2,7.46,1.1,"[20], [79, 116]"
3,9.82,2.5,"[20], [79, 116]"
4,7.34,6.7,[20]
5,7.11,8.3,"[20], [79, 116]"
6,7.23,4.6,[20]
7,7.43,7.2,"[20], [79, 116]"
8,7.91,3.1,[20]
9,7.16,4.6,"[20], [79, 116]"
10,7.11,7.2,[20]
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,6.78,6.7,[20]
2,6.53,8.9,[20]
3,8.92,2.4,[20]
4,7.31,3.5,[20]
5,5.79,6.2,[20]
6,6.41,6.9,[20]
7,6.72,5.4,[20]
8,6.35,7.8,[20]
9,6.91,9.2,[20]
10,6.02,8.6,[20]
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,10.03,4.7,None
2,9.65,6.4,None
3,11.31,5.6,None
4,10.92,7.3,[20] x 2
5,10.62,4.5,None
6,10.37,2.4,[20]
7,10.83,3.2,None
8,10.49,4.1,None
9,10.23,8.1,"[20], [79, 116]"
10,9.98,8.2,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,N/A,
2,,N/A,
3,,N/A,
4,,N/A,
5,,N/A,
6,,N/A,
7,,N/A,
8,,N/A,
9,,N/A,
10,,N/A,
