"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,9.92,6.2,"[798], [20] x 2"
2,9.87,5.1,"[770, 307, 400], [798], [20] x 2, [89] x 2"
3,9.28,8.9,"[798], [20] x 2"
4,9.98,11.1,"[798], [20] x 2, [89] x 2"
5,10.01,13.2,"[798], [20] x 3, [89] x 2, [79, 116]"
6,9.55,8.1,"[798], [20] x 2"
7,10.07,10.8,"[798], [770, 307, 400], [20] x 2, [79, 116]"
8,9.59,6.4,"[798], [770, 307, 400], [20] x 2"
9,9.72,11.9,"[798], [770, 307, 400], [20] x 2"
10,9.91,13.2,"[798], [20] x 3, [89] x 2, [79, 116]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,12.03,4.3,"[798], [20] x 2"
2,13.41,1.5,"[798], [770, 307, 400], [20] x 2"
3,12.98,2.9,"[798], [770, 307, 400], [20] x 2"
4,12.62,7.3,"[798], [770, 307, 400], [20] x 2"
5,12.53,11.1,"[798], [20] x 2"
6,12.44,13.2,"[798], [20] x 2"
7,12.49,6.5,"[798], [20] x 2"
8,12.01,4.6,"[798], [20] x 2"
9,15.32,3.9,"[798], [20] x 2"
10,13.61,12.3,"[798], [770, 307, 400], [20] x 2"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,15.09,13.1,"[770, 307, 400], [20] x 2"
2,16.21,8.7,"[770, 307, 400], [20] x 2"
3,15.48,9.2,"[770, 307, 400], [20]"
4,17.81,7.2,"[770, 307, 400], [20] x 2"
5,15.06,3.6,"[770, 307, 400], [20] x 2"
6,15.07,5.4,"[770, 307, 400], [20] x 2"
7,15.31,9.8,"[770, 307, 400], [20] x 2"
8,15.38,8.6,"[770, 307, 400], [20]"
9,15.92,6.5,"[798],  [770, 307, 400], [20] x 3"
10,15.61,13.9,[20] x 2
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,N/A,
2,,N/A,
3,,N/A,
4,,N/A,
5,,N/A,
6,,N/A,
7,,N/A,
8,,N/A,
9,,N/A,
10,,N/A,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,17.88,4.2,[20] x 2
2,18.09,5.3,"[770, 307, 400], [20] x 2"
3,19.11,6.7,[20]
4,18.52,8.2,[20]
5,17.63,9.6,[20]
6,15.55,5.6,[20]
7,19.92,5.4,[20]
8,19.33,5.7,"[770, 307, 400], [20]"
9,16.72,8.3,[20]
10,17.26,12.1,"[770, 307, 400], [20]"
