"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,11.02,4.6,[384]
2,11.31,5.4,"[20], [916]"
3,11.27,4.5,None
4,11.49,3.7,"[798], [770, 307, 400], [20]"
5,11.51,2.4,"[770, 307, 400], [20]"
6,11.47,7.6,"[798], [20]"
7,11.62,5.3,"[352], [384], [770, 307, 400], [916], [20]"
8,11.92,11.1,[20]
9,11.63,7.8,None
10,12.01,12.4,"[770, 307, 400], [798], [20]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,15.98,4.7,[20]
2,16.03,1.5,[20]
3,15.78,5.9,[20]
4,16.39,4.8,"[770, 307, 400], [798], [20]"
5,16.52,3.4,[20]
6,16.71,7.2,[20]
7,16.58,5.6,[20]
8,16.28,9.2,[20]
9,16.53,8.3,"[770, 307, 400], [20]"
10,16.29,10.4,[20]
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,16.03,4.6,None
2,16.36,4.1,"[770, 307, 400], [20]"
3,16.02,7.2,None
4,15.98,3.6,"[770, 307, 400]"
5,16.11,8.2,"[770, 307, 400], [20]"
6,16.23,7.1,"[770, 307, 400]"
7,16.18,5.6,"[770, 307, 400]"
8,16.19,11.3,"[770, 307, 400]"
9,16.34,8.7,None
10,16.52,15.9,"[770, 307, 400], [20]"
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,N/A,
2,,N/A,
3,,N/A,
4,,N/A,
5,,N/A,
6,,N/A,
7,,N/A,
8,,N/A,
9,,N/A,
10,,N/A,
