"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,9.08,8.2,[20]
2,8.36,13.5,[20]
3,9.12,10.7,[20]
4,9.33,6.3,[20]
5,6.07,3.3,[20]
6,8.98,9.8,[20]
7,9.02,7.7,[20]
8,9.01,3.4,[20]
9,9.14,11.3,[20]
10,9.28,14.3,[20]
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,9.08,11.2,[20]
2,9.31,18.7,[20]
3,9.15,9.1,[20]
4,9.71,11.2,[20]
5,9.62,9.8,[20]
6,9.31,3.4,[20]
7,9.02,6.5,[20]
8,8.87,8.4,[20]
9,9.43,9.2,[20]
10,9.47,10.3,[20]
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,13.09,11.4,[20]
2,12.46,11.3,[20]
3,13.31,10.1,[20]
4,13.51,7.8,[20]
5,13.62,5.6,[20]
6,13.72,12.3,[20]
7,13.18,5.6,[20]
8,13.09,9.3,[20]
9,13.11,7.8,[20]
10,13.22,8.4,[20]
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,N/A,
2,,N/A,
3,,N/A,
4,,N/A,
5,,N/A,
6,,N/A,
7,,N/A,
8,,N/A,
9,,N/A,
10,,N/A,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,21.29,4.3,[20]
2,20.09,13.4,[20]
3,24.15,10.1,[20]
4,23.73,6.7,[20]
5,23.98,8.3,[20]
6,24.16,5.4,[20]
7,22.38,5.5,[20]
8,22.51,5.8,[20]
9,21.64,9.2,[20]
10,22.46,13.2,[20]
