"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,9.08,12.7,None
2,9.51,2.8,None
3,9.87,8.3,None
4,9.39,7.2,None
5,10.01,6.1,None
6,9.82,4.6,"[20], [79, 116]"
7,9.38,3.3,None
8,9.41,9.8,None
9,9.61,7.6,None
10,9.29,10.1,None
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,11.09,11.2,None
2,11.37,8.7,[20]
3,11.89,9.2,[20]
4,12.01,4.5,[20]
5,12.32,3.1,None
6,11.57,6.2,[20]
7,12.03,7.3,[20]
8,12.04,4.9,[20]
9,13.31,9.1,None
10,15.04,16.4,[20]
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,16.01,11.5,None
2,15.97,3.9,[20]
3,16.11,6.6,None
4,16.13,4.9,None
5,14.33,9.3,None
6,15.65,7.8,None
7,16.03,6.5,None
8,16.09,5.5,None
9,16.01,10.2,None
10,16.33,9.8,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,N/A,
2,,N/A,
3,,N/A,
4,,N/A,
5,,N/A,
6,,N/A,
7,,N/A,
8,,N/A,
9,,N/A,
10,,N/A,
