"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,12.02,4.4,[798]
2,12.34,5.6,[798]
3,12.41,7.8,[798]
4,12.56,9.2,[798]
5,12.78,3.4,[798]
6,12.92,4.4,[798]
7,12.31,1.1,[798]
8,12.46,2.4,[798]
9,12.91,3.3,[798]
10,12.71,3.2,"[770, 307, 400]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,9.08,7.8,"[770, 307, 400], [20]"
2,12.31,4.6,None
3,10.98,5.3,None
4,12.36,4.2,None
5,12.94,3.3,[20]
6,13.57,9.2,"[770, 307, 400]"
7,10.27,7.8,None
8,14.01,6.3,None
9,13.93,9.2,"[770, 307, 400], [20]"
10,13.26,7.9,[20]
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,17.32,6.2,None
2,16.92,5.1,None
3,11.39,5.5,[20]
4,16.98,3.4,None
5,17.92,9.1,None
6,17.33,4.6,[20]
7,17.68,7.5,None
8,15.42,3.6,None
9,14.86,9.2,[20]
10,15.99,8.8,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,N/A,
2,,N/A,
3,,N/A,
4,,N/A,
5,,N/A,
6,,N/A,
7,,N/A,
8,,N/A,
9,,N/A,
10,,N/A,
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,25.58,10.1,None
2,26.02,7.2,None
3,24.46,5.6,None
4,23.78,9.3,None
5,23.91,7.2,None
6,25.44,6.8,None
7,24.57,6.4,None
8,24.82,9.2,None
9,23.55,7.8,None
10,23.46,6.4,None
