"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,30.09,3.1,"[79, 116]"
2,31.82,3.6,"[79, 116]"
3,32.46,5.4,"[79, 116]"
4,31.98,7.8,"[79, 116]"
5,33.92,3.4,"[79, 116]"
6,30.67,2.6,"[79, 116]"
7,30.73,2.4,"[79, 116]"
8,30.89,2.8,"[79, 116]"
9,30.58,9.1,"[79, 116]"
10,34.61,3.4,"[79, 116]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,36.53,2.5,None
2,34.51,0.5,None
3,33.64,1.6,None
4,32.98,3.8,None
5,30.08,9.6,None
6,37.81,4.5,None
7,39.91,6.1,None
8,36.77,7.2,None
9,35.65,8.3,None
10,33.98,2.1,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,40.02,3.1,None
2,39.86,1.6,None
3,44.36,2.4,None
4,43.78,1.1,None
5,42.91,9.2,None
6,48.61,3.5,"[209, 497]"
7,50.01,5.8,"[209, 497]"
8,40.03,13.2,None
9,42.22,10.2,None
10,41.96,2.6,"[209, 497]"
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,15.19,N/A,None
2,18.63,N/A,None
3,13.83,N/A,None
4,7.62,N/A,None
5,18.64,N/A,None
6,9.62,N/A,None
7,12.68,N/A,"[79, 116]"
8,18.92,N/A,None
9,15.96,N/A,None
10,17.58,N/A,None
