"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,75.01,6.3,"[22, 23, 36, 73, 99] x 2"
2,52.33,9.4,"[22, 23, 36, 73, 99] x 2"
3,63.35,11.9,"[22, 23, 36, 73, 99], [209, 497]"
4,70.92,12.3,"[22, 23, 36, 73, 99] x 4, [209, 497]"
5,72.31,15.1,"[22, 23, 36, 73, 99]"
6,70.98,7.6,"[22, 23, 36, 73, 99] x 2"
7,68.75,8.3,"[22, 23, 36, 73, 99] x 4, [209, 497]"
8,71.55,10.1,"[22, 23, 36, 73, 99] x 2"
9,70.56,13.5,"[22, 23, 36, 73, 99] x 3"
10,69.85,9.9,"[22, 23, 36, 73, 99] x 2"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,37.63,8.1,"[22, 23, 36, 73, 99]"
2,40.98,12.1,"[22, 23, 36, 73, 99]"
3,36.88,5.6,"[22, 23, 36, 73, 99]"
4,38.76,7.2,"[22, 23, 36, 73, 99]"
5,39.96,9.5,"[22, 23, 36, 73, 99]"
6,41.32,8.1,"[22, 23, 36, 73, 99]"
7,49.55,7.6,"[22, 23, 36, 73, 99] x 2, [209, 497]"
8,40.37,10.3,None
9,36.78,9.1,None
10,35.92,9.9,"[22, 23, 36, 73, 99]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,43.51,5.8,"[22, 23, 36, 73, 99] x 2"
2,46.31,5.1,None
3,52.73,1.6,None
4,52.97,4.6,"[22, 23, 36, 73, 99] x 3"
5,47.66,4.5,None
6,60.01,9.9,"[22, 23, 36, 73, 99] x 3"
7,50.07,10.9,"[22, 23, 36, 73, 99]"
8,53.62,6.5,"[22, 23, 36, 73, 99] x 3"
9,54.68,2.1,"[22, 23, 36, 73, 99]"
10,50.09,9.6,"[22, 23, 36, 73, 99] x 2"
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
