"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,53.76,8.9,None
2,49.33,7.3,[798]
3,55.31,8.7,[798]
4,56.97,14.7,None
5,47.61,12.2,None
6,47.92,5.1,None
7,46.86,13,[798]
8,45.83,5.6,None
9,49.22,8.4,None
10,50.01,10.3,"[79, 116] x2, [209, 497]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,56.33,16.3,"[79, 116] x2, [209, 497]"
2,62.41,3.1,"[79, 116], [209, 497]"
3,57.64,8.7,"[79, 116] x2, [209, 497]"
4,63.52,10.8,"[209, 497]"
5,60.03,5.7,"[79, 116], [209, 497]"
6,63.02,14.4,"[209, 497]"
7,60.92,10.9,"[79, 116] x2, [209, 497]"
8,61.33,2.8,"[79, 116] x2, [209, 497]"
9,56.89,6.1,"[79, 116], [209, 497]"
10,59.88,12.9,"[209, 497]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,73.12,5.1,None
2,77.34,6.3,None
3,71.69,8.4,None
4,74.82,2.6,"[215, 489]"
5,71.98,11.1,None
6,60.83,9.8,None
7,73.31,10,None
8,65.44,9.4,None
9,69.81,4.2,[798]
10,70.02,7.6,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,N/A,
2,,N/A,
3,,N/A,
4,,N/A,
5,,N/A,
6,,N/A,
7,,N/A,
8,,N/A,
9,,N/A,
10,,N/A,
