"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,41.09,6,None
2,40.81,6.2,None
3,44.39,1.9,None
4,40.98,9.3,None
5,38.75,12.1,None
6,42.67,8.1,None
7,41.38,3.5,None
8,40.08,4.2,None
9,45.19,4.3,None
10,40.01,6.2,None
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,48.75,4.7,None
2,34.86,1.2,None
3,44.58,5.3,None
4,31.09,2.4,None
5,47.82,4.8,None
6,38.55,2.8,None
7,37.99,6.9,None
8,34.36,5.8,None
9,36.71,5.6,None
10,39.98,5.5,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,40.02,6.9,None
2,47.85,12.4,None
3,66.81,5.4,None
4,49.71,3.6,None
5,61.75,3,None
6,70.09,2.5,None
7,54.22,9.2,None
8,60.89,24.3,None
9,52.46,11.5,None
10,71.35,18.7,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,N/A,
2,,N/A,
3,,N/A,
4,,N/A,
5,,N/A,
6,,N/A,
7,,N/A,
8,,N/A,
9,,N/A,
10,,N/A,
